"ID","Year","LINCOSAMIDE","PHENICOL","PLEUROMUTILIN","AMINOGLYCOSIDE","BETA-LACTAM","FOLATE-PATHWAY-INHIBITOR","MACROLIDE","QUINOLONE","TETRACYCLINE"
"AL36832PPY50031",2022,NA,NA,NA,0,0,0,NA,NA,0
"AL36849PPY10005",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10011",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10023",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10024",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10035",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10036",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10073",2018,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY10074",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10075",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10088",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10100",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10101",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10131",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10132",2018,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY10147",2018,NA,NA,NA,1,0,1,NA,NA,NA
"AL36849PPY10148",2018,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10189",2019,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY10190",2019,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY20005",2019,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY20066",2019,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY20067",2019,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY20087",2019,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY20112",2019,NA,NA,NA,0,0,0,NA,NA,NA
"AL36849PPY20134",2019,NA,NA,NA,0,0,0,NA,NA,NA
"AL36849PPY20161",2019,NA,NA,NA,0,0,0,NA,NA,NA
"AL36849PPY30063",2020,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY30086",2020,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY30087",2020,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY30105",2020,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY30116",2020,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY30153",2020,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY30154",2020,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY30178",2020,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY40007",2021,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY40038",2021,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY40039",2021,NA,NA,NA,1,0,1,NA,NA,NA
"AL36849PPY40063",2021,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY40077",2021,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY40103",2021,NA,NA,NA,1,1,1,NA,NA,NA
"AL36849PPY40119",2021,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY40148",2021,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY40157",2021,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY40174",2021,NA,NA,NA,1,0,1,NA,NA,NA
"AL36849PPY40189",2021,NA,NA,NA,1,0,1,NA,NA,NA
"AL36849PPY50015",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50046",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50058",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50059",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50084",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50085",2022,NA,NA,NA,0,1,1,NA,NA,NA
"AL36849PPY50106",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50138",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50208",2022,NA,NA,NA,0,0,1,NA,NA,NA
"AL36849PPY50220",2022,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10001",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10002",2018,NA,NA,NA,1,0,1,NA,NA,NA
"CA95616PPY10003",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10004",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10046",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10047",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10048",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10049",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10050",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10051",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10052",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10053",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10087",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10088",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10089",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10090",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10091",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10092",2018,NA,NA,NA,1,0,1,NA,NA,NA
"CA95616PPY10093",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10094",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10095",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10096",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10097",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10098",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10099",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10100",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10101",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10102",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10103",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10157",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10158",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10159",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10160",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10178",2018,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY10179",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10180",2018,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY10181",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10182",2018,NA,NA,NA,1,0,1,NA,NA,NA
"CA95616PPY10183",2018,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY10184",2018,NA,NA,NA,1,0,1,NA,NA,NA
"CA95616PPY20001",2019,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY20002",2019,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY20003",2019,NA,NA,NA,1,0,1,NA,NA,NA
"CA95616PPY20004",2019,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY20005",2019,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY20006",2019,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY20007",2019,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY20043",2019,NA,NA,NA,1,1,1,NA,NA,NA
"CA95616PPY20044",2019,NA,NA,NA,1,0,1,NA,NA,NA
"CA95616PPY20045",2019,NA,NA,NA,0,0,1,NA,NA,NA
"CA95616PPY20047",2019,NA,NA,NA,0,1,1,NA,NA,NA
"CA95616PPY20069",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY20070",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY20071",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY20086",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY20087",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY20088",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20089",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY20112",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY20113",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20114",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20115",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20116",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20142",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20143",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY20144",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY20145",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY20146",2019,NA,NA,NA,1,0,0,NA,NA,NA
"CA95616PPY20170",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20171",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY20172",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20173",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20174",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20175",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20176",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20177",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20217",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY20218",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30001",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30002",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30003",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30004",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30005",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30006",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30007",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30008",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30009",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30010",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30011",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30042",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30043",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30044",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30045",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30046",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30076",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30077",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30078",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30079",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30080",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30089",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30090",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30091",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30092",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30093",2020,NA,NA,NA,1,0,0,NA,NA,NA
"CA95616PPY30094",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30139",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30140",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30141",2020,NA,NA,NA,1,0,0,NA,NA,NA
"CA95616PPY30142",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30143",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30144",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30145",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30146",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30147",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30148",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30149",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30150",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30204",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30206",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30207",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30208",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30209",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30210",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30211",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30212",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30213",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30214",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30215",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30216",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30217",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30218",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30219",2020,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY30256",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30257",2020,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY30258",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30259",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30260",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY30261",2020,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40007",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40008",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40009",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40010",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40011",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40012",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40013",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40014",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40028",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40029",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40030",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40046",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40047",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40048",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40049",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40050",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40051",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40068",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40069",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40070",2021,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY40087",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40088",2021,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY40089",2021,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY40090",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40091",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40092",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40093",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40155",2021,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY40156",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40175",2021,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY40176",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40177",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40178",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40179",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40185",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40186",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40187",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40188",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40189",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40190",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40196",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40197",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40198",2021,NA,NA,NA,0,1,0,NA,NA,NA
"CA95616PPY40199",2021,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY40200",2021,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY40201",2021,NA,NA,NA,1,1,0,NA,NA,NA
"CA95616PPY50038",2022,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY50039",2022,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY50040",2022,NA,NA,NA,0,0,0,NA,NA,NA
"CA95616PPY50041",2022,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10122",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10123",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10124",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10125",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10126",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10127",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10128",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10129",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10130",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10131",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10132",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10133",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10134",2018,NA,NA,NA,1,1,0,NA,NA,NA
"CO80526PPY10135",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10136",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10137",2018,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY10138",2018,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY10139",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10140",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10141",2018,NA,NA,NA,1,1,0,NA,NA,NA
"CO80526PPY10142",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10143",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10144",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY10145",2018,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20020",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20021",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20022",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20023",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20131",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20132",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20133",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20134",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20135",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20136",2019,NA,NA,NA,1,1,0,NA,NA,NA
"CO80526PPY20137",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20153",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20154",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20155",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20156",2019,NA,NA,NA,1,0,0,NA,NA,NA
"CO80526PPY20157",2019,NA,NA,NA,0,1,0,NA,NA,NA
"CO80526PPY20158",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20159",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20160",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20161",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20162",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20163",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20164",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20165",2019,NA,NA,NA,0,0,0,NA,NA,NA
"CO80526PPY20166",2019,NA,NA,NA,0,1,0,NA,NA,NA
