"Resistance_Pattern","Frequency","recovered_resistance_pattern"
"EFFLUX, FOSFOMYCIN",105,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",36,"Yes"
"EFFLUX, FOSFOMYCIN, TETRACYCLINE",35,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE, TETRACYCLINE",31,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, SULFONAMIDE, TETRACYCLINE",20,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, TETRACYCLINE",14,"Yes"
"EFFLUX",10,NA
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",9,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, LINCOSAMIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",8,"Yes"
"AMINOGLYCOSIDE, EFFLUX, PHENICOL, SULFONAMIDE, TETRACYCLINE",7,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, MACROLIDE, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",6,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, PHENICOL, QUINOLONE, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",6,"Yes"
"AMINOGLYCOSIDE, EFFLUX, SULFONAMIDE, TETRACYCLINE",6,"Yes"
"EFFLUX, TETRACYCLINE",6,"Yes"
"AMINOGLYCOSIDE, EFFLUX, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",4,"Yes"
"AMINOGLYCOSIDE, EFFLUX, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",4,"Yes"
"AMINOGLYCOSIDE, EFFLUX, TETRACYCLINE",4,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, NITROFURAN, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",3,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN, PHENICOL, STREPTOTHRICIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, PHENICOL, STREPTOTHRICIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, STREPTOTHRICIN, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, SULFONAMIDE, TETRACYCLINE",2,"Yes"
"AMINOGLYCOSIDE, BLEOMYCIN, EFFLUX, FOSFOMYCIN",2,"Yes"
"AMINOGLYCOSIDE, BLEOMYCIN, EFFLUX, FOSFOMYCIN, PHENICOL, SULFONAMIDE, TETRACYCLINE, TRIMETHOPRIM",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX",2,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOSFOMYCIN",2,"Yes"
