combination,num_contigs_with_combo
tet(A),182
floR,169
tet(B),133
blaTEM-1,113
aph(3')-Ia,107
aph(3'')-Ib|aph(6)-Id,67
sul2,55
blaCMY-2,50
tet(M),36
sul1,36
blaCTX-M-55,36
sul3,31
tet(C),30
aac(3)-IId,30
aph(6)-Id|aph(3'')-Ib,28
sul2|aph(3'')-Ib|aph(6)-Id,26
aac(3)-VIa,24
mph(A),24
catA1,20
sul2|aph(3'')-Ib|aph(6)-Id|tet(A),18
aph(6)-Id|aph(3'')-Ib|sul2,18
dfrA51,16
dfrA12|aadA2,14
dfrA5,13
lnu(F),13
aadA22|lnu(F),13
blaCTX-M-15,12
dfrA17|aadA5,12
cmlA1|aadA1,12
blaCTX-M-27,12
aac(3)-IIe,12
qnrS1,12
blaTEM,10
aadA1|sul3,9
sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,9
dfrA14,9
floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,8
tet(A)|floR,8
aadA1,8
aph(3')-Ia|aph(6)-Id|aph(3'')-Ib,8
aadA5|dfrA17,8
qnrB19,8
dfrA12,7
aadA1|lnu(F),7
sul1|aph(3')-Ia,7
dfrA12|aadA2|cmlA1|aadA1,7
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),7
dfrA12|aadA2|sul1,7
rmtE1,6
tet(A)|aph(3'')-Ib|aph(6)-Id,6
blaTEM-1|sul3,6
catA2,6
sul2|aph(6)-Id|aph(3'')-Ib,6
sul1|aadA5|dfrA17,5
aadA22|sul3,5
dfrA36,5
aph(3'')-Ib|aph(6)-Id|tet(A),5
aph(3'')-Ib|aph(6)-Id|aph(3')-Ia,5
aadA1|sul1,4
aph(6)-Id|aph(3'')-Ib|tet(B),4
dfrA17|aadA5|sul1,4
tet(M)|aadA1|cmlA1,4
aph(3')-IIa|ble,4
blaEC,4
tet(A)|blaTEM-1,4
dfrA14|arr-2,4
aadA25|aac(3)-VIa,4
aadA6,4
aadA5,4
dfrA1|aadA1|sul1,3
sul1|aadA2|dfrA12,3
blaCTX-M-14,3
blaTEM-1|dfrA17|aadA5|sul1,3
blaOXA-1,3
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,3
aadA7|sul1,3
aph(6)-Id|aph(3'')-Ib|blaTEM-1,3
blaTEM-1|aph(3'')-Ib|aph(6)-Id,3
floR|tet(A),3
sul3|aadA1,3
blaLAP-2,3
dfrA17,3
floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,3
sul2|blaTEM-1,3
aadA2|dfrA12,3
dfrA1|sat2|aadA1,3
aadA1|cmlA1|aadA2|dfrA12,3
aph(3')-IIa|ble|aph(6)-Ic,3
sul2|aph(3'')-Ib,3
aadA6|aac(3)-VIa,2
blaCMY,2
blaCMY-2|sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,2
sul1|aadA1|blaOXA-1|catA1,2
sul1|aac(3)-VIa,2
sul3|aadA1|cmlA1|aadA2|dfrA12,2
aph(3')-Ia|aph(6)-Id|aph(3'')-Ib|tet(B),2
sul1|rmtB1|blaTEM-1,2
fosA3,2
aac(3)-VIa|sul1,2
tet(A)|aph(6)-Id|aph(3'')-Ib,2
dfrA1|sat2,2
aadA1|aac(3)-VIa,2
aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,2
dfrA8,2
aadA22,2
aadA2|lnu(F),2
aadA5|sul1|mph(A),2
sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|aadA1|sat2|dfrA1,2
sul1|aadA2|dfrA12|tet(A),2
aadA2,2
dfrA23|sul1|aadA2,2
aadA2|sul1,2
dfrA23,2
blaCTX-M-65,2
aph(3'')-Ib|aph(6)-Id|tet(A)|floR,2
aac(3)-VIa|aadA6,2
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,2
aph(6)-Ic|ble|aph(3')-IIa,2
sat2|dfrA1,2
qnrS1|tet(A),2
tet(M)|aadA1|cmlA1|aadA2|dfrA12,2
erm(B),2
arr-2|dfrA14,2
cmlA1|aadA1|tet(M),2
aadA5|dfrA17|catA1,1
sul1|aadA1,1
aadA2|cmlA1|aadA1,1
aadA1|tet(M),1
cmlA1,1
blaCTX-M-14|tet(B),1
tet(B)|blaCTX-M-14,1
catA1|dfrA17|aadA5,1
aph(3')-Ia|sul1|aadA7,1
blaCMY-2|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),1
ant(2'')-Ia,1
ant(2'')-Ia|aadA1,1
catB3|blaOXA-1|aac(6')-Ib-cr,1
blaOXA-1|catB3,1
blaOXA|catB3,1
blaOXA-1|aadA1|sul1,1
blaCTX-M-1|mph(A),1
mph(A)|blaCTX-M-1,1
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,1
dfrA17|aadA5|sul1|mph(A),1
dfrA12|aadA2|sul1|mph(A),1
blaOXA-1|aac(6')-Ib-cr5,1
aac(6')-Ib-cr5|blaOXA-1,1
sul1|aadA2|dfrA12|floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,1
blaTEM-1|sul2,1
aph(3'')-Ib|sul2|blaTEM-1|qnrS1,1
qnrS1|blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id,1
aadA1|sat2|dfrA1,1
sul1|dfrA1|catB3|aac(6')-Ib4|catA1,1
aac(6')-Ib4|catB3|dfrA1|sul1,1
aph(6)-Ic,1
aadA1|aac(3)-VIa|sul1|tet(A),1
sul1|aadA7,1
aph(3')-Ia|blaTEM-1,1
floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM,1
blaTEM|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),1
sul1|aadA1|dfrA1,1
sul1|aadA1|dfrA1|sul2,1
sul2|dfrA1|aadA1|sul1,1
sul2|blaCMY-2|tet(B),1
cmlA1|aadA2|blaCARB-2|dfrA16,1
dfrA1,1
dfrA16|blaCARB-2|aadA2|cmlA1,1
aph(3')-Ia|sul1|aac(3)-VIa|aadA25,1
aac(3)-VIa|aadA1|floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,1
mph(G)|mef(C)|erm(F),1
erm(F)|mef(C)|mph(G),1
tet(A)|qnrS1,1
dfrA14|aadA1|blaOXA-10|cmlA5|arr-2,1
arr-2|cmlA5|blaOXA-10|aadA1|dfrA14,1
sul1|aac(3)-VIa|aadA1|floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,1
blaCTX-M-15|blaTEM-1|sul3,1
sul3|blaTEM-1,1
catA1|dfrA12|aadA2|sul1|mph(A),1
mef(B)|sul3|aadA1|cmlA1|aadA2|dfrA12,1
cmlA1|aadA1|sul3,1
mef(B),1
aadA1|aac(3)-VIa|sul1,1
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id,1
ompF_Q88STOP,1
aadA1|dfrA1,1
dfrA1|aadA1,1
sul1|mph(A),1
sul3|aadA2|dfrA12,1
aph(6)-Id|tet(A),1
blaCMY-2|sul2|aph(3'')-Ib|aph(6)-Id,1
aph(6)-Id|aph(3'')-Ib|sul2|blaCMY-2,1
sul1|aadA2|dfrA12|floR|tet(A),1
blaCMY-2|sul2,1
aph(6)-Id|sul2|aph(3'')-Ib,1
blaCTX-M-55|blaTEM-1|blaLAP-2,1
blaTEM-1|blaLAP-2,1
blaTEM|blaLAP-2,1
sul1|aac(3)-VIa|aadA25|blaCMY-2|sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,1
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaCMY-2,1
aadA25,1
blaCTX-M-15|dfrA51,1
catA1|dfrA17|aadA5|sul1|mph(A),1
catA1|dfrA17|aadA5|sul1,1
ere(A)|aadA2|blaCARB-2|dfrA16,1
dfrA16|blaCARB-2|aadA2|ere(A),1
