combination,num_contigs_with_combo
tet(B),188
tet(A),131
tet(C),103
floR,51
blaTEM-1,39
aph(3'')-Ib|aph(6)-Id,29
sul2,20
sat2|aadA1,18
dfrA51,14
aph(3')-Ia,11
tet(M),10
tet(A)|aph(3'')-Ib|aph(6)-Id,10
sul2|aph(3'')-Ib|aph(6)-Id|tet(A),9
blaEC,9
sul2|aph(3'')-Ib|aph(6)-Id,9
aph(6)-Id,9
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),8
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,7
aph(3')-Ia|aph(6)-Id|aph(3'')-Ib,7
blaHER-3,6
cmlA1,6
blaCMY-2,6
aadA1|sat2,5
floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,5
aph(6)-Id|aph(3'')-Ib,5
aph(3'')-Ib,5
sul1,5
aph(3'')-Ib|aph(6)-Id|sul2,5
aph(3'')-Ib|aph(6)-Id|aph(3')-Ia,5
aph(6)-Id|aph(3'')-Ib|sul2,5
dfrA5,5
aph(3')-IIa,4
aph(6)-Id|aph(3'')-Ib|tet(A),4
aadA1,4
sul2|tet(A)|aph(6)-Id|aph(3'')-Ib,4
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,4
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id,4
floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,3
aph(3'')-Ib|aph(6)-Id|tet(A),3
aph(3')-IIa|ble|aph(6)-Ic,3
sul2|aph(6)-Id|aph(3'')-Ib,3
dfrA12,3
sul2|aph(6)-Id,3
blaCTX-M-27,2
blaTEM-1|sul2,2
mcr-9.1,2
tet(A)|floR,2
catA1,2
aadA6,2
tet(A)|aph(3')-Ia,2
sat2,2
aph(6)-Id|sul2,2
aph(3'')-Ib|sul2|blaTEM-1|tet(A),2
sul2|aph(3'')-Ib,2
aac(3)-IVa|aph(4)-Ia,2
cmlA1|aadA1|sul3,2
aadA2,2
dfrA14,2
blaCTX-M-65,2
aph(3')-Ia|aph(6)-Id|aph(3'')-Ib|tet(B),1
sul1|aadA1,1
aadA1|sul1,1
estT,1
blaTEM|sul2,1
aph(6)-Ic|ble|aph(3')-IIa,1
sul2|aph(6)-Id|dfrA14|aph(3'')-Ib,1
sul2|aph(3'')-Ib|dfrA14|aph(6)-Id,1
qnrB19,1
aph(6)-Id|aph(3'')-Ib|sul1|aph(6)-Ic|ble|aph(3')-IIa,1
sul1|aadA1|catA1,1
sul1|aac(3)-VIa|aadA6,1
aac(3)-VIa,1
tet(M)|aadA1|cmlA1,1
blaTEM-1|sul3,1
sul3|blaTEM-1,1
dfrA12|aadA2,1
aadA22,1
sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,1
aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,1
aadA2|sul1,1
sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR|dfrA1|aadA1|sul1,1
dfrA1|aadA1|sul1,1
blaOXA|aadA1,1
dfrA5|tet(B),1
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,1
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaCMY-2,1
blaCMY|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),1
aph(3'')-Ib|sul2|blaCMY-2,1
sul2|tet(A)|aph(3'')-Ib,1
tet(A)|sul2|aph(3'')-Ib,1
aph(3'')-Ib|tet(A)|aph(6)-Id,1
aph(6)-Id|tet(A),1
tet(A)|sul2|aph(3'')-Ib|aph(6)-Id,1
aadA5|dfrA17,1
dfrA17|aadA5,1
blaTEM-156,1
mdtM,1
sul1|aac(3)-VIa|aadA1,1
aph(4)-Ia|aac(3)-IVa,1
blaTEM-1|mph(A)|dfrA14,1
floR|aph(6)-Id|aph(3'')-Ib|aph(3')-Ia,1
catB3|blaOXA-1|aac(6')-Ib-cr5,1
blaCTX-M-15,1
aac(6')-Ib-cr5|blaOXA-1|catB3,1
mph(A),1
blaTEM-1|aph(6)-Id|aph(3'')-Ib|sul2|dfrA14,1
aph(6)-Id|aph(3'')-Ib|aac(3)-IVa|aph(4)-Ia,1
aph(6)-Id|aph(3'')-Ib|aac(3)-IVa,1
dfrA1|sat2,1
sul2|floR|tet(A)|aph(6)-Id|aph(3'')-Ib,1
floR|tet(A),1
blaCTX-M-65|sul2,1
aadA5|sul1,1
dfrA17,1
