"ID","Year","SOURCE","Drugcode","MIC_SIGN","MIC","Minimum","Maximum"
"07GA01GB01",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB01",2007,"Retail Ground Beef","AMP","=",2,2,2
"07GA01GB01",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB01",2007,"Retail Ground Beef","CHL","=",4,4,4
"07GA01GB01",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB01",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA01GB01",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB01",2007,"Retail Ground Beef","FOX","=",2,2,2
"07GA01GB01",2007,"Retail Ground Beef","GEN","=",0,0,0
"07GA01GB01",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB01",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB02",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB02",2007,"Retail Ground Beef","AMP","<=",1,0,1
"07GA01GB02",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB02",2007,"Retail Ground Beef","CHL","=",4,4,4
"07GA01GB02",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB02",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA01GB02",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB02",2007,"Retail Ground Beef","FOX","=",2,2,2
"07GA01GB02",2007,"Retail Ground Beef","GEN","=",0,0,0
"07GA01GB02",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB02",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB03",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB03",2007,"Retail Ground Beef","AMP","=",4,4,4
"07GA01GB03",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB03",2007,"Retail Ground Beef","CHL","=",4,4,4
"07GA01GB03",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB03",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA01GB03",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB03",2007,"Retail Ground Beef","FOX","=",8,8,8
"07GA01GB03",2007,"Retail Ground Beef","GEN","=",0,0,0
"07GA01GB03",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB03",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB04",2007,"Retail Ground Beef","AMC","=",4,4,4
"07GA01GB04",2007,"Retail Ground Beef","AMP","=",4,4,4
"07GA01GB04",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB04",2007,"Retail Ground Beef","CHL","=",4,4,4
"07GA01GB04",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB04",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA01GB04",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB04",2007,"Retail Ground Beef","FOX","=",2,2,2
"07GA01GB04",2007,"Retail Ground Beef","GEN","=",0,0,0
"07GA01GB04",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB04",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB06",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB06",2007,"Retail Ground Beef","AMP","=",2,2,2
"07GA01GB06",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB06",2007,"Retail Ground Beef","CHL","=",8,8,8
"07GA01GB06",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB06",2007,"Retail Ground Beef","COT","=",0,0,0
"07GA01GB06",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB06",2007,"Retail Ground Beef","FOX","=",2,2,2
"07GA01GB06",2007,"Retail Ground Beef","GEN","=",1,1,1
"07GA01GB06",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB06",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB07",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB07",2007,"Retail Ground Beef","AMP","=",2,2,2
"07GA01GB07",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB07",2007,"Retail Ground Beef","CHL","=",8,8,8
"07GA01GB07",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB07",2007,"Retail Ground Beef","COT","=",0,0,0
"07GA01GB07",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB07",2007,"Retail Ground Beef","FOX","=",4,4,4
"07GA01GB07",2007,"Retail Ground Beef","GEN","=",2,2,2
"07GA01GB07",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB07",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB08",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB08",2007,"Retail Ground Beef","AMP","=",2,2,2
"07GA01GB08",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB08",2007,"Retail Ground Beef","CHL","=",4,4,4
"07GA01GB08",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB08",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA01GB08",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB08",2007,"Retail Ground Beef","FOX","=",8,8,8
"07GA01GB08",2007,"Retail Ground Beef","GEN","=",1,1,1
"07GA01GB08",2007,"Retail Ground Beef","NAL","=",4,4,4
"07GA01GB08",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB09",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB09",2007,"Retail Ground Beef","AMP","=",2,2,2
"07GA01GB09",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB09",2007,"Retail Ground Beef","CHL","=",4,4,4
"07GA01GB09",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB09",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA01GB09",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB09",2007,"Retail Ground Beef","FOX","=",2,2,2
"07GA01GB09",2007,"Retail Ground Beef","GEN","=",0,0,0
"07GA01GB09",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB09",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA01GB10",2007,"Retail Ground Beef","AMC","=",2,2,2
"07GA01GB10",2007,"Retail Ground Beef","AMP","=",2,2,2
"07GA01GB10",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA01GB10",2007,"Retail Ground Beef","CHL","=",8,8,8
"07GA01GB10",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA01GB10",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA01GB10",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA01GB10",2007,"Retail Ground Beef","FOX","=",2,2,2
"07GA01GB10",2007,"Retail Ground Beef","GEN","=",1,1,1
"07GA01GB10",2007,"Retail Ground Beef","NAL","=",2,2,2
"07GA01GB10",2007,"Retail Ground Beef","TET","<=",4,0,4
"07GA02GB01",2007,"Retail Ground Beef","AMC","=",4,4,4
"07GA02GB01",2007,"Retail Ground Beef","AMP","=",2,2,2
"07GA02GB01",2007,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"07GA02GB01",2007,"Retail Ground Beef","CHL","=",8,8,8
"07GA02GB01",2007,"Retail Ground Beef","CIP","<=",0,0,0
"07GA02GB01",2007,"Retail Ground Beef","COT","<=",0,0,0
"07GA02GB01",2007,"Retail Ground Beef","FIS","<=",16,0,16
"07GA02GB01",2007,"Retail Ground Beef","FOX","=",4,4,4
"07GA02GB01",2007,"Retail Ground Beef","GEN","=",0,0,0
"07GA02GB01",2007,"Retail Ground Beef","NAL","=",2,2,2
