"ID","GENUS","GROWTH","SPECIES","SEROTYPE","ISOLATE_ID","RECEIVED_DATE","PLATE","STATE","Month","Year","MEAT_TYPE","CUTS","SELLBY_DATE","ACQUISITION_DATE","RAISING_CLAIM","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","BRAND","BRAND_NAME","ESTABLISHMENT_NUMBER","AMC_Sign","AMC","AMI_Sign","AMI","AMP_Sign","AMP","APR_Sign","APR","ATM_Sign","ATM","AXO_Sign","AXO","AZI_Sign","AZI","BAC_Sign","BAC","CAZ_Sign","CAZ","CEP_Sign","CEP","CHL_Sign","CHL","CIP_Sign","CIP","CLI_Sign","CLI","COT_Sign","COT","CTX_Sign","CTX","DAP_Sign","DAP","DOX_Sign","DOX","ERY_Sign","ERY","FEP_Sign","FEP","FFN_Sign","FFN","FIS_Sign","FIS","FOX_Sign","FOX","GEN_Sign","GEN","IMI_Sign","IMI","KAN_Sign","KAN","LIN_Sign","LIN","LZD_Sign","LZD","MER_Sign","MER","NAL_Sign","NAL","NIT_Sign","NIT","PEN_Sign","PEN","PTZ_Sign","PTZ","QDA_Sign","QDA","SMX_Sign","SMX","STR_Sign","Str","TEL_Sign","TEL","TET_Sign","TET","TGC_Sign","TGC","TIO_Sign","TIO","TYL_Sign","TYL","VAN_Sign","VAN","GENOTYPE","SRA_ACCESSION_NUMBER","BIOSAMPLE_ID","Aminoglycoside_Resist_Genes","Beta_lactam_Resist_Genes","Glycopeptide_Resist_Genes","Macrolide_Resist_Genes","QAC_Resist_Genes","Quinolone_Resist_Genes","Sulfonamide_Resist_Genes","Tetracycline_Resist_Genes","Trimethoprim_Resist_Genes","Phenicol_Resist_Genes","Other_Classes_Resist_Genes","CORRECTED_GENOTYPE"
"17CO02GB06","EC","YES","coli","","17CO02GB06-EC","6/15/2017","CMV4AGNF","CO",2,2017,"GB","","2/28/2017","2/27/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","CZ","KROGER PRIVATE SELECTION NATURAL","6250","<=",1,"",NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,"",NA,"",NA,"<=",2,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095824","SAMN10221252","","","","","","","","","","",NA," NA"
"17CO06GB01","EC","YES","coli","","17CO06GB01-EC","12/7/2017","CMV4AGNF","CO",6,2017,"GB","","6/7/2017","6/5/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","FN","TARGET","85M","<=",1,"",NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095739","SAMN10221540","","","","","","","","","","",NA," NA"
"17CO06GB03","EC","YES","coli","","17CO06GB03-EC","12/7/2017","CMV4AGNF","CO",6,2017,"GB","","6/8/2017","6/5/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","FV","WALMART","244S","=",2,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095738","SAMN10221541","","","","","","","","","","",NA," NA"
"17CO07GB02","EC","YES","coli","","17CO07GB02-EC","12/7/2017","CMV4AGNF","CO",7,2017,"GB","","7/23/2017","7/7/2017","ORGANIC","US AUSTRALIA URUGUAY","FDA","Retail Ground Beef","Cattle","Ground Beef","SW","TRADER JOE'S NATURAL BEEF","48082","=",2,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",4,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"tet(B)","SRR8095398","SAMN10221545","","","","","","","","tet(B)","","",NA," tet(B) NA"
"17CO07GB10","EC","YES","coli","","17CO07GB10-EC","12/7/2017","CMV4AGNF","CO",7,2017,"GB","","8/2/2017","7/24/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","DA","LAURA'S LEAN BEEF (LAURA'S BEEF) / LAURA'S LEAN (GROUND TURKEY)","85M","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095727","SAMN10221546","","","","","","","","","","",NA," NA"
"17CO09GB06","EC","YES","coli","","17CO09GB06-EC","12/7/2017","CMV4AGNF","CO",9,2017,"GB","","9/22/2017","9/22/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","EO","SAFEWAY INC","NONE","=",4,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,"",NA,"",NA,"<=",2,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095801","SAMN10221550","","","","","","","","","","",NA," NA"
"17CO09GB10","EC","YES","coli","","17CO09GB10-EC","12/7/2017","CMV4AGNF","CO",9,2017,"GB","","9/26/2017","9/22/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","FV","WALMART","244S","=",2,"",NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",1,"",NA,"",NA,"",NA,"<=",2,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095802","SAMN10221551","","","","","","","","","","",NA," NA"
"17CO10GB02","EC","YES","coli","","17CO10GB02-EC","12/7/2017","CMV4AGNF","CO",10,2017,"GB","","10/18/2017","10/13/2017","ORGANIC","AUSTRALIA","FDA","Retail Ground Beef","Cattle","Ground Beef","ABP","SIMPLY BALANCED","46841","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095805","SAMN10221554","","","","","","","","","","",NA," NA"
"17CO10GB08","EC","YES","coli","","17CO10GB08-EC","12/7/2017","CMV4AGNF","CO",10,2017,"GB","","10/16/2017","10/20/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","DA","LAURA'S LEAN BEEF (LAURA'S BEEF) / LAURA'S LEAN (GROUND TURKEY)","4215","=",2,"",NA,"=",2,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,"",NA,"",NA,"=",4,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",1,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,"=",4,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR8095806","SAMN10221555","","","","","","","","","","",NA," NA"
"17GA01GB02","EC","YES","coli","","17GA01GB02-EC","3/23/2017","CMV4AGNF","GA",1,2017,"GB","","1/31/2017","1/30/2017","","domestic","FDA","Retail Ground Beef","Cattle","Ground Beef","ED","PUBLIX","NONE","=",4,"",NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,"",NA,"",NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"<=",16,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,"",NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"aph(6)-Id strA tet(A)","SRR8095931","SAMN10220965","aph(6)-Id  strA","","","","","","","tet(A)","","",NA,"aph(6)-Id  strA tet(A) NA"
