"Year","N","AMINOGLYCOSIDE","BETA.LACTAM","FOLATE.PATHWAY.INHIBITOR","MACROLIDE","PHENICOL","QUINOLONE","TETRACYCLINE"
2002,295,0.34,7.12,10.17,NA,1.02,0,30.85
2003,311,0.96,6.11,10.29,NA,2.25,0.96,25.08
2004,338,0.59,6.8,13.02,NA,3.55,1.48,22.78
2005,316,0,4.75,6.96,NA,1.58,1.58,16.46
2006,295,4.07,9.15,12.54,NA,1.36,0.68,25.42
2007,256,0,6.64,9.38,NA,3.91,0.39,21.88
2008,250,2,6.4,12,NA,0.8,0.4,24
2009,247,0.81,4.86,7.69,NA,2.43,0.4,18.62
2010,269,0.37,4.83,12.64,NA,2.6,0,22.68
2011,215,0.47,3.72,7.91,0,1.4,0,17.67
2012,271,0.74,4.06,7.38,0,1.11,1.48,22.14
2013,227,0,4.85,7.93,0,3.96,0.44,22.47
2014,205,0.49,4.88,7.8,0,0.49,0,21.46
2015,227,0.44,2.64,7.49,0,1.32,0.44,18.5
2016,174,0.57,6.32,9.77,0,5.17,0,23.56
2017,271,0,6.27,6.27,0,2.58,1.85,21.77
2018,133,0,3.76,10.53,0,3.76,1.5,20.3
2019,286,0.7,2.1,6.64,0,2.45,0.7,19.58
