"Year","N","AMC","AMP","AXO","AZI","CHL","CIP","COT","FIS","FOX","GEN","MER","NAL","SMX","TET"
2002,295,2.03,6.1,0,NA,1.02,0,0.68,NA,0,0.34,NA,0,10.17,30.85
2003,311,2.25,5.14,0.32,NA,2.25,0,0.32,NA,0,0.96,NA,0.96,10.29,25.08
2004,338,3.85,5.33,1.48,NA,3.55,0,0.59,13.02,1.18,0.59,NA,1.48,NA,22.78
2005,316,1.27,3.48,1.9,NA,1.58,0.32,0.63,6.96,0.95,0,NA,1.27,NA,16.46
2006,295,2.37,9.15,1.69,NA,1.36,0,1.36,12.54,2.03,4.07,NA,0.68,NA,25.42
2007,256,0.78,6.64,0.78,NA,3.91,0,1.17,9.38,0.78,0,NA,0.39,NA,21.88
2008,250,2.4,6.4,1.6,NA,0.8,0,2,11.6,2.4,2,NA,0.4,NA,24
2009,247,1.62,4.88,0.81,NA,2.43,0,2.02,7.69,1.62,0.81,NA,0.4,NA,18.62
2010,269,1.12,4.83,1.12,NA,2.6,0,0.74,12.64,1.12,0.37,NA,0,NA,22.68
2011,215,0.47,3.72,0.47,0,1.4,0,2.33,7.91,0.47,0.47,NA,0,NA,17.67
2012,271,1.48,2.58,0,0,1.11,0,0.37,7.38,1.85,0.74,NA,1.48,NA,22.14
2013,227,1.76,4.85,2.2,0,3.96,0,1.76,7.93,1.32,0,NA,0.44,NA,22.47
2014,205,0.49,4.39,0.49,0,0.49,0,0.98,7.8,0.98,0.49,NA,0,NA,21.46
2015,227,0.44,2.64,0.44,0,1.32,0,1.32,7.49,0.44,0.44,NA,0.44,NA,18.5
2016,174,1.15,6.32,0.57,0,5.17,0,1.15,9.77,1.15,0.57,0,0,NA,23.56
2017,271,0.37,6.27,0.37,0,2.58,0,1.11,6.27,0,0,0,1.85,NA,21.77
2018,133,0.75,3.76,0,0,3.76,0.75,0.75,10.53,0,0,0,1.5,NA,20.3
2019,286,0,2.1,0,0,2.45,0,0.7,6.64,0,0.7,0,0.7,NA,19.58
