"Resistance_Pattern","Frequency","recovered_resistance_pattern"
"MACROLIDE",311,NA
"",104,"No"
"MACROLIDE, TETRACYCLINE",41,"Yes"
"TETRACYCLINE",22,NA
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",20,"Yes"
"AMINOGLYCOSIDE, MACROLIDE, TETRACYCLINE",15,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",5,"Yes"
"FOSFOMYCIN, MACROLIDE",5,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, MACROLIDE, TETRACYCLINE",4,"Yes"
"AMINOGLYCOSIDE, TETRACYCLINE",4,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, QUINOLONE, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, MACROLIDE",3,"Yes"
"FOSFOMYCIN",3,NA
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",2,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",2,"Yes"
"BETA-LACTAM, TETRACYCLINE",2,"No"
"QUINOLONE",2,NA
"AMINOGLYCOSIDE",1,NA
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, FOSFOMYCIN, MACROLIDE",1,"Yes"
"AMINOGLYCOSIDE, FOSFOMYCIN, MACROLIDE, TETRACYCLINE",1,"Yes"
"BETA-LACTAM",1,NA
"COLISTIN, MACROLIDE",1,"Yes"
"FOLATE-PATHWAY-INHIBITOR, MACROLIDE",1,"Yes"
"FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",1,"Yes"
"FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",1,"Yes"
"MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes"
"MACROLIDE, QUINOLONE",1,"Yes"
"MACROLIDE, QUINOLONE, TETRACYCLINE",1,"Yes"
