"Resistance_Pattern","Frequency","recovered_resistance_pattern"
"",3475,"No"
"TETRACYCLINE",544,NA
"FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",218,"Yes"
"BETA-LACTAM, TETRACYCLINE",69,"Yes"
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",49,"Yes"
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",49,"Yes"
"BETA-LACTAM",45,NA
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",36,"Yes"
"FOLATE-PATHWAY-INHIBITOR",21,NA
"QUINOLONE",13,NA
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",12,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",11,"Yes"
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR",10,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",3,"Yes"
"FOLATE-PATHWAY-INHIBITOR, PHENICOL",3,"Yes"
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",3,"Yes"
"QUINOLONE, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",2,"Yes"
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",2,"Yes"
"BETA-LACTAM, QUINOLONE",2,"No"
"BETA-LACTAM, QUINOLONE, TETRACYCLINE",2,"Yes"
"FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",2,"Yes"
"PHENICOL, QUINOLONE, TETRACYCLINE",2,"Yes"
"PHENICOL, TETRACYCLINE",2,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, TETRACYCLINE",1,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR",1,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes"
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",1,"Yes"
"PHENICOL",1,NA
