combination,num_contigs_with_combo
tet(B),504
tet(A),405
floR,263
blaTEM-1,235
tet(C),118
aph(3')-Ia,113
aph(3'')-Ib|aph(6)-Id,111
sul2,100
tet(M),75
sul2|aph(3'')-Ib|aph(6)-Id|tet(A),66
blaCMY-2,58
sul2|aph(3'')-Ib|aph(6)-Id,52
floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,41
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),37
aph(6)-Id|aph(3'')-Ib,30
sul1,29
sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,29
aph(3')-Ia|aph(6)-Id|aph(3'')-Ib,28
sul2|aph(6)-Id|aph(3'')-Ib,28
dfrA51,27
aph(6)-Id|aph(3'')-Ib|sul2,26
floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,23
aph(3'')-Ib|aph(6)-Id|aph(3')-Ia,20
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id,18
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1,18
dfrA5,17
dfrA14,17
aph(3'')-Ib|aph(6)-Id|sul2,16
tet(A)|floR,15
blaCTX-M-55,15
catA1,14
blaCTX-M-27,14
aph(6)-Id|aph(3'')-Ib|tet(A),12
qnrB19,12
dfrA17|aadA5,12
cmlA1|aadA1,11
aadA1,11
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,11
qnrS1,11
mph(A),11
sul3,11
aph(6)-Id|tet(A),10
sat2|aadA1,10
blaTEM,9
floR|tet(A),9
cmlA1|aadA1|sul3,9
aph(3'')-Ib|aph(6)-Id|tet(A),9
blaTEM-1|sul2,9
tet(A)|aph(3'')-Ib|aph(6)-Id,9
dfrA12|aadA2|sul1,9
aac(3)-IId,9
lnu(F),9
aac(3)-VIa,8
dfrA12|aadA2,8
blaTEM-1|sul2|aph(3'')-Ib,8
aadA1|sul1,8
sul2|tet(A)|aph(6)-Id|aph(3'')-Ib,8
aadA5|dfrA17,8
aadA1|sul3,7
dfrA17|aadA5|sul1,7
dfrA12,7
aadA2|cmlA1|aadA1,6
blaCTX-M-15,6
aadA25|aac(3)-VIa,6
aph(6)-Id,5
blaTEM|sul2|aph(3'')-Ib|aph(6)-Id,5
aph(3')-IIa|ble,5
aph(3'')-Ib,5
tet(A)|blaTEM-1,5
dfrA1|aadA1|sul1,5
sul1|aadA2|dfrA12,5
dfrA17,5
blaTEM-1|sul3,5
blaCTX-M-65,5
aadA12|sul1,4
sul3|aadA1|cmlA1|aadA2,4
bleO,4
blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,4
aadA5,4
dfrA12|aadA2|cmlA1|aadA1,4
aadA1|sat2,4
blaHER-3,4
dfrA1|sat2|aadA1,4
cmlA1,4
dfrA17|aadA5|sul1|mph(A),4
aadA6,4
dfrA1,4
sul3|aadA1|cmlA1|aadA2|dfrA12,3
aadA2|cmlA1|aadA1|sul3,3
sul2|aph(3'')-Ib,3
aph(3')-IIa|ble|aph(6)-Ic,3
blaCMY,3
aac(3)-IVa|aph(4)-Ia,3
blaTEM-1|tet(A),3
blaTEM|sul2|aph(3'')-Ib|aph(6)-Id|tet(A),3
sul1|aadA1,3
aadA1|cmlA1,3
aadA2|lnu(F),3
dfrA12|aadA2|cmlA1,2
aadA2,2
dfrA5|tet(A),2
aph(6)-Ic|ble|aph(3')-IIa,2
sul2|aph(3')-Ia|aph(6)-Id|aph(3'')-Ib,2
aph(6)-Id|tet(A)|floR,2
tet(A)|sul2|aph(3'')-Ib|aph(6)-Id,2
blaTEM|tet(A),2
sul1|aadA1|dfrA1,2
blaTEM-1|aac(3)-IId,2
tet(B)|blaTEM-1,2
sul2|tet(A)|aph(3'')-Ib,2
blaCTX-M-1|mph(A),2
sul1|aadA12|tet(A)|catA1,2
blaCTX-M-1,2
sul1|aadA1|dfrA1|floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2,2
aadA7|sul1,2
sul1|aadA12,2
sul3|aadA1,2
blaSHV-12,2
tet(D),2
mcr-9.1,2
dfrA7|sul1,2
aac(3)-VIa|aadA6,2
aadA6|aac(3)-VIa,2
aac(3)-VIa|aadA25,2
aadA2|sul1|dfrA23,2
tet(A)|aph(3'')-Ib,2
aph(3')-Ia|sul1|aadA25,2
aph(3')-Ia|aph(6)-Id|aph(3'')-Ib|sul2,2
blaOXA|aadA1|sul1,2
erm(B),2
qnrS2,2
blaOXA,2
sul2|tet(A),2
sul2|aph(6)-Id|aph(3'')-Ib|tet(B),1
sul1|aac(3)-VIa|aadA1,1
dfrA12|tet(A)|floR,1
sul1|aadA12|catA1,1
dfrA5|blaTEM-1,1
sul3|aadA1|cmlA1|aadA2|blaCARB-2|dfrA16,1
dfrA16|blaCARB-2|aadA2|cmlA1|aadA1,1
floR|tet(A)|blaTEM-1|sul2|aph(3'')-Ib|aph(6)-Id,1
tet(A)|aph(6)-Id|aph(3'')-Ib,1
aadA1|tet(A),1
sul1|dfrA1|catB3|aac(6')-Ib4|catA1,1
catA1|aac(6')-Ib4|catB3|dfrA1|sul1,1
floR|tet(A)|aph(6)-Id,1
sul1|aadA13,1
aadA13|sul1,1
blaTEM|tet(B),1
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaCMY,1
tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM,1
aph(4)-Ia|aac(3)-IVa|aph(3'')-Ib|aph(6)-Id,1
ompF_Q88STOP,1
blaTEM-1|tet(B),1
cmlA1|aadA2|blaCARB-2|dfrA16,1
ble|aph(3')-IIa,1
dfrA16|blaCARB-2|aadA2|cmlA1,1
sul1|aadA1|catA1,1
floR|tet(A)|aph(6)-Id|aph(3'')-Ib,1
aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1|tet(A),1
aadA2|sul1,1
aadA5|sul1|mph(A),1
aadA5|sul1,1
aadA1|cmlA1|aadA2|dfrA12,1
sul2|aph(3'')-Ib|tet(A),1
aadA2|cmlA1,1
sul1|aph(6)-Ic|ble|aph(3')-IIa,1
blaCMY-2|sul2|aph(3'')-Ib|aph(6)-Id|tet(A)|floR,1
