"Data_Source","Year","rule_combination","class_combination","plasmid_combination","support","confidence","lift","num_contigs","mismatch_distance"
"Cecal",2020,"{aadA1,glpT_E448K}","{AMINOGLYCOSIDE,FOSFOMYCIN}","aadA1",0.159574468085106,0.882352941176471,0.993307502641775,11,0.5
"Cecal",2020,"{aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,glpT_E448K}","{AMINOGLYCOSIDE,FOSFOMYCIN}","aph(3')-Ia|aph(6)-Id|aph(3'')-Ib",0.159574468085106,1,2.1123595505618,48,0.25
"Cecal",2020,"{aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,sul2}","{AMINOGLYCOSIDE,SULFONAMIDE}","sul2|aph(3')-Ia|aph(6)-Id|aph(3'')-Ib",0.180851063829787,1,2.1123595505618,4,0
"Cecal",2020,"{aph(3'')-Ib,aph(3')-Ia,aph(6)-Id}","{AMINOGLYCOSIDE}","aph(3')-Ia|aph(6)-Id|aph(3'')-Ib",0.207446808510638,1,2.1123595505618,48,0
"Cecal",2020,"{aph(3'')-Ib,aph(3')-Ia,glpT_E448K}","{AMINOGLYCOSIDE,FOSFOMYCIN}","aph(3')-Ia|aph(6)-Id|aph(3'')-Ib",0.159574468085106,0.731707317073171,1.54562893943546,48,0.5
"Cecal",2020,"{aph(3'')-Ib,aph(3')-Ia,sul2}","{AMINOGLYCOSIDE,SULFONAMIDE}","sul2|aph(3')-Ia|aph(6)-Id|aph(3'')-Ib",0.180851063829787,0.871794871794872,1.99874921826141,4,0.25
"Cecal",2020,"{aph(3'')-Ib,aph(3')-Ia}","{AMINOGLYCOSIDE}","aph(3')-Ia|aph(6)-Id|aph(3'')-Ib",0.207446808510638,0.764705882352941,1.61533377395902,48,0.333333333333333
"Cecal",2017,"{aph(3'')-Ib,aph(6)-Id,blaTEM-1,floR,glpT_E448K,sul2,tet(A)}","{AMINOGLYCOSIDE,BETA-LACTAM,FOSFOMYCIN,PHENICOL,SULFONAMIDE,TETRACYCLINE}","floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1",0.160919540229885,0.875,2.92788461538462,46,0.142857142857143
"Cecal",2017,"{aph(3'')-Ib,aph(6)-Id,blaTEM-1,floR,glpT_E448K,sul2}","{AMINOGLYCOSIDE,BETA-LACTAM,FOSFOMYCIN,PHENICOL,SULFONAMIDE}","floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1",0.160919540229885,0.875,2.92788461538462,46,0.285714285714286
"Cecal",2017,"{aph(3'')-Ib,aph(6)-Id,blaTEM-1,floR,glpT_E448K,tet(A)}","{AMINOGLYCOSIDE,BETA-LACTAM,FOSFOMYCIN,PHENICOL,TETRACYCLINE}","floR|tet(A)|aph(6)-Id|aph(3'')-Ib|sul2|blaTEM-1",0.160919540229885,0.875,2.92788461538462,46,0.285714285714286
