"Data_Source","class_combination","n","avg_support","avg_confidence","avg_mismatch"
"Cecal","{AMINOGLYCOSIDE,SULFONAMIDE}",10,0.34656395206652,0.915028696793403,0.266666666666667
"Cecal","{AMINOGLYCOSIDE,FOSFOMYCIN}",8,0.384346722915138,0.875724600550719,0.447916666666667
"Cecal","{AMINOGLYCOSIDE,FOSFOMYCIN,SULFONAMIDE,TETRACYCLINE}",6,0.375478927203066,0.990990990990991,0.308333333333333
"Cecal","{AMINOGLYCOSIDE,FOSFOMYCIN,TETRACYCLINE}",6,0.386973180076629,0.760296474358974,0.419444444444444
"Cecal","{AMINOGLYCOSIDE,SULFONAMIDE,TETRACYCLINE}",6,0.386973180076629,0.984532828282828,0.125
"NAHLN","{AMINOGLYCOSIDE,BETA-LACTAM,FOSFOMYCIN}",7,0.333333333333333,1,0.426190476190476
"NAHLN","{AMINOGLYCOSIDE,BETA-LACTAM,PHENICOL}",7,0.333333333333333,1,0.426190476190476
"NAHLN","{AMINOGLYCOSIDE,BETA-LACTAM,SULFONAMIDE}",7,0.333333333333333,1,0.261904761904762
"NAHLN","{AMINOGLYCOSIDE,BETA-LACTAM,TETRACYCLINE}",7,0.333333333333333,1,0.361904761904762
"NAHLN","{AMINOGLYCOSIDE,BETA-LACTAM,TRIMETHOPRIM}",7,0.333333333333333,1,0.426190476190476
"Retail_Meats","{AMINOGLYCOSIDE,FOSFOMYCIN,SULFONAMIDE,TETRACYCLINE}",6,0.0525729455545284,0.920238095238095,0.375
"Retail_Meats","{AMINOGLYCOSIDE,FOSFOMYCIN,TETRACYCLINE}",6,0.0595534380999787,0.744003308519438,0.447222222222222
"Retail_Meats","{AMINOGLYCOSIDE,SULFONAMIDE,TETRACYCLINE}",6,0.0540306715020503,0.852272727272727,0.194444444444444
"Retail_Meats","{AMINOGLYCOSIDE,TETRACYCLINE}",6,0.0670198392946029,0.746590909090909,0.263888888888889
"Retail_Meats","{FOSFOMYCIN,TETRACYCLINE}",5,0.0607782287735414,0.620880368341669,0.533333333333333
