"source","sample_size","mean_genes","sd_genes","lower_ci","upper_ci"
"NARMS_MEAT",1,5.57,4.61498437788047,4.66546306193543,6.47453693806457
"NARMS_MEAT",2,8.14,4.80954438296573,7.19732930093872,9.08267069906128
"NARMS_MEAT",3,9.5,6.56975008364977,8.21232898360465,10.7876710163954
"NARMS_MEAT",4,11.98,7.7784732733774,10.455419238418,13.504580761582
"NARMS_MEAT",5,13.11,7.17021758400819,11.7046373535344,14.5153626464656
"NARMS_MEAT",6,13.13,6.79520775877003,11.7981392792811,14.4618607207189
"NARMS_MEAT",7,15.07,7.38720570180688,13.6221076824459,16.5178923175541
"NARMS_MEAT",8,15.01,7.72179782279759,13.4965276267317,16.5234723732683
"NARMS_MEAT",10,19.03,9.0122867870099,17.2635917897461,20.7964082102539
"NARMS_MEAT",11,19.97,9.42429162999919,18.1228388405202,21.8171611594798
"NARMS_MEAT",13,19.46,8.71133013536238,17.752579293469,21.167420706531
"NARMS_MEAT",15,23.32,10.0833696468167,21.3436595492239,25.2963404507761
"NARMS_MEAT",17,25.51,9.81289092382201,23.5866733789309,27.4333266210691
"NARMS_MEAT",20,29.15,10.9649349282063,27.0008727540716,31.2991272459284
"NARMS_MEAT",23,28.59,9.27590013057079,26.7719235744081,30.4080764255919
"NARMS_MEAT",27,33.69,10.674897392642,31.5977201110422,35.7822798889578
"NARMS_MEAT",31,34.25,10.7010572497593,32.1525927790472,36.3474072209528
"NARMS_MEAT",35,36.36,10.5145594104537,34.2991463555511,38.4208536444489
"NARMS_MEAT",41,38.54,9.33595201358705,36.7101534053369,40.3698465946631
"NARMS_MEAT",47,43.26,9.33725026034123,41.4298989489731,45.0901010510269
"NARMS_MEAT",54,43.24,9.63277234394663,41.3519766205865,45.1280233794135
"NARMS_MEAT",63,47.02,9.97266972350641,45.0653567341927,48.9746432658073
"NARMS_MEAT",72,49.14,8.54816419537617,47.4645598177063,50.8154401822937
"NARMS_MEAT",83,52.58,8.25010560079339,50.9629793022445,54.1970206977555
"NARMS_MEAT",96,55.71,8.64951099219143,54.0146958455305,57.4053041544695
"NARMS_MEAT",111,57.11,7.36205806754463,55.6670366187613,58.5529633812387
"NARMS_MEAT",128,61.15,7.39556924411126,59.7004684281542,62.5995315718458
"NARMS_MEAT",147,63.23,7.96057837602319,61.6697266382995,64.7902733617005
"NARMS_MEAT",170,65.26,6.89842611240295,63.907908481969,66.612091518031
