"Gene","Isolate_Count","Prevalence"
"fdeC",284,94.67
"sslE",234,78
"lpfA-O113",197,65.67
"espX1",184,61.33
"iss",161,53.67
"iucA",99,33
"iucC",99,33
"iucD",99,33
"iutA",99,33
"iucB",98,32.67
"ybtP",85,28.33
"ybtQ",85,28.33
"lpfA",78,26
"bmaE",58,19.33
"f17g",56,18.67
"espP",49,16.33
"papC",47,15.67
"astA",47,15.67
"f17a",44,14.67
"papH",42,14
"papA",42,14
"iroN",41,13.67
"sinH",39,13
"ireA",35,11.67
"iroD",33,11
"iroE",33,11
"iroB",32,10.67
"iroC",32,10.67
"cdtB",31,10.33
"cvaC",31,10.33
"eilA",31,10.33
"hlyA-alpha",30,10
"cnf2",30,10
"iha",26,8.67
"mchF",23,7.67
"tir",21,7
"eae",21,7
"ehxA",20,6.67
"nleA",20,6.67
"espA",20,6.67
"espB",20,6.67
"cif",19,6.33
"air",19,6.33
"fanC",19,6.33
"espJ",18,6
"nleB",18,6
"etpD",18,6
"sta1",18,6
"cvaB",17,5.67
"fim41a",17,5.67
"mchB",17,5.67
"espK",15,5
"nleC",15,5
"efa1",15,5
"espF",14,4.67
"vactox",14,4.67
"capU",14,4.67
"stxA1",14,4.67
"stx1a_operon",14,4.67
"stxB1",14,4.67
"lpfA1",14,4.67
"pic",12,4
"espI",10,3.33
"tccP",8,2.67
"papF",8,2.67
"lpfA2",8,2.67
"papG-II",7,2.33
"papE",7,2.33
"stxB2",7,2.33
"stxA2",7,2.33
"ibeA",6,2
"katP",5,1.67
"toxB",5,1.67
"epeA",4,1.33
"nleB2",4,1.33
"sfaF",3,1
"stx2a_operon",3,1
"stb",2,0.67
"stx2c_operon",2,0.67
"subB",2,0.67
"subA",2,0.67
"tsh",2,0.67
"cnf1",2,0.67
"stx1_operon",1,0.33
"senB",1,0.33
"stx2d_operon",1,0.33
"papG-III",1,0.33
"stx2_operon",1,0.33
"stx2g_operon",1,0.33
"focG",1,0.33
"Total_Unique_Genes",90,NA
"Total_Isolates",300,NA
