"ID","GENUS","SPECIES","SEROTYPE","ISOLATE_ID","RECEIVED_DATE","STATE","Month","Year","MEAT_TYPE","CUTS","ACQUISITION_DATE","RAISING_CLAIM","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","AMC_Sign","AMC","AMI_Sign","AMI","AMP_Sign","AMP","APR_Sign","APR","ATM_Sign","ATM","AXO_Sign","AXO","AZI_Sign","AZI","CAZ_Sign","CAZ","CEP_Sign","CEP","CHL_Sign","CHL","CIP_Sign","CIP","CLI_Sign","CLI","COT_Sign","COT","CTX_Sign","CTX","DAP_Sign","DAP","DOX_Sign","DOX","ERY_Sign","ERY","FEP_Sign","FEP","FFN_Sign","FFN","FIS_Sign","FIS","FOX_Sign","FOX","GEN_Sign","GEN","IMI_Sign","IMI","KAN_Sign","KAN","LIN_Sign","LIN","LZD_Sign","LZD","MER_Sign","MER","NAL_Sign","NAL","NIT_Sign","NIT","PEN_Sign","PEN","PTZ_Sign","PTZ","QDA_Sign","QDA","SMX_Sign","SMX","STR_Sign","Str","TEL_Sign","TEL","TET_Sign","TET","TGC_Sign","TGC","TIO_Sign","TIO","TYL_Sign","TYL","VAN_Sign","VAN","GENOTYPE","SRA_ACCESSION_NUMBER","BIOSAMPLE_ID","Aminoglycoside_Resist_Genes","Beta_lactam_Resist_Genes","Glycopeptide_Resist_Genes","Macrolide_Resist_Genes","QAC_Resist_Genes","Quinolone_Resist_Genes","Sulfonamide_Resist_Genes","Tetracycline_Resist_Genes","Trimethoprim_Resist_Genes","Phenicol_Resist_Genes","Other_Classes_Resist_Genes","CORRECTED_GENOTYPE"
210281572,"EC","coli","",210283697,"",NA,NA,2017,NA,NA,"2/18/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",8,NA,NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",16,"",NA,NA,NA,"=",16,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"=",32,"=",8,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",4,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",8,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"","SRR5445232","SAMN06712429","","","","",NA,"","","","","",""," NA"
210281936,"EC","coli","",210283700,"",NA,NA,2017,NA,NA,"2/21/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Beef Cow","=",2,NA,NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",16,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"=",32,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,"<=",4,"",NA,"",NA,"",NA,"",NA,"strA strB","SRR5445048","SAMN06712430","","","","",NA,"","","","","","strA strB"," NA strA strB"
210286711,"EC","coli","",210288721,"",NA,NA,2017,NA,NA,"3/9/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Beef Cow","=",4,NA,NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",8,"",NA,NA,NA,">",32,"=",0.5,"",NA,">",4,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",16,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,">",32,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"aadA1 dfrA1 floR GyrA(S83L) strA strB sul1 sul2 tet(A)","SRR5683214","SAMN07237076","","","","",NA,"","","","","","aadA1 dfrA1 floR GyrA(S83L) strA strB sul1 sul2 tet(A)"," NA aadA1 dfrA1 floR GyrA(S83L) strA strB sul1 sul2 tet(A)"
210291595,"EC","coli","",210293397,"",NA,NA,2017,NA,NA,"4/3/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Heifer","<=",1,NA,NA,"<=",1,NA,NA,"",NA,"<=",0.25,"=",2,"",NA,NA,NA,">",32,"=",0.5,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,">",32,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"floR GyrA(S83L) QnrB19 strA strB sul2 tet(A) tet(M)","SRR5862392","SAMN07410324","","","","",NA,"","","","","","floR GyrA(S83L) QnrB19 strA strB sul2 tet(A) tet(M)"," NA floR GyrA(S83L) QnrB19 strA strB sul2 tet(A) tet(M)"
210293000,"EC","coli","",210295357,"",NA,NA,2017,NA,NA,"4/6/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1A floR strA strB sul2 tet(A)","SRR5648040","SAMN07197390","","","","",NA,"","","","","","blaTEM-1A floR strA strB sul2 tet(A)"," NA blaTEM-1A floR strA strB sul2 tet(A)"
210293028,"EC","coli","",210295381,"",NA,NA,2017,NA,NA,"4/5/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Heifer","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",32,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1A floR strA strB sul2 tet(A)","SRR5648038","SAMN07197388","","","","",NA,"","","","","","blaTEM-1A floR strA strB sul2 tet(A)"," NA blaTEM-1A floR strA strB sul2 tet(A)"
210293031,"EC","coli","",210295384,"",NA,NA,2017,NA,NA,"4/6/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,">",32,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,">",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"floR strA strB sul2 tet(A)","SRR5683233","SAMN07237069","","","","",NA,"","","","","","floR strA strB sul2 tet(A)"," NA floR strA strB sul2 tet(A)"
210306015,"EC","coli","",210307722,"",NA,NA,2017,NA,NA,"6/5/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Beef Cow","=",8,NA,NA,">",32,NA,NA,"",NA,"=",0.5,"=",8,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"=",128,"=",4,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",1,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",4,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1B tet(A)","SRR5890296","SAMN07374666","","","","",NA,"","","","","","blaTEM-1B tet(A)"," NA blaTEM-1B tet(A)"
210307271,"EC","coli","",210309355,"",NA,NA,2017,NA,NA,"6/12/2017",NA,NA,"USDA-FSIS","Cecal (Dairy)","Cattle","Animal-Cattle-Dairy Cow","=",8,NA,NA,">",32,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"<=",0.125,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"<=",16,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"blaTEM-1B GyrA(D87P) GyrA(S83R) strA strB tet(B)","SRR5862403","SAMN07410326","","","","",NA,"","","","","","blaTEM-1B GyrA(D87P) GyrA(S83R) strA strB tet(B)"," NA blaTEM-1B GyrA(D87P) GyrA(S83R) strA strB tet(B)"
210307272,"EC","coli","",210309356,"",NA,NA,2017,NA,NA,"6/12/2017",NA,NA,"USDA-FSIS","Cecal (Beef)","Cattle","Animal-Cattle-Steer","=",2,NA,NA,"=",4,NA,NA,"",NA,"<=",0.25,"=",4,"",NA,NA,NA,"=",8,"<=",0.015,"",NA,"=",0.25,"",NA,"",NA,NA,NA,"",NA,"",NA,"",NA,">",256,"=",2,"=",0.5,"",NA,"",NA,"",NA,"",NA,"<=",0.06,"=",2,"",NA,"",NA,"",NA,"",NA,NA,NA,"=",64,"",NA,">",32,"",NA,"",NA,"",NA,"",NA,"strA strB sul2 tet(B)","SRR5862404","SAMN07410327","","","","",NA,"","","","","","strA strB sul2 tet(B)"," NA strA strB sul2 tet(B)"
