"Year","N","AMC","AMP","AXO","AZI","CHL","CIP","COT","FIS","FOX","GEN","MER","NAL","TET"
"2013",293,"0","3.75","0","0","3.75","0","0","9.22","0","0.34","NaN","0","25.94"
"2014",326,"0.61","5.21","0.92","0","3.68","0","0.92","11.96","0.61","0.61","NaN","0.31","37.42"
"2015",566,"1.24","6.54","0.88","0","6.36","1.24","0.53","16.43","1.24","0.71","NaN","2.13","39.22"
"2016",738,"0.81","6.1","0.81","0.27","6.78","0.41","0.54","14.63","0.68","0","0","1.09","38.75"
"2017",936,"0.43","5.02","0.53","0.11","5.24","0","0.75","15.71","0.32","0","0","0.97","37.61"
"2018",1029,"0.49","6.51","0.39","0","8.07","0.39","0.87","15.45","0.49","0.29","0","1.86","35.67"
"2019",759,"0.4","5.67","0.4","0.13","6.72","0.13","1.32","13.57","0.26","0.26","0","1.86","33.2"
"2020",477,"6.5","23.9","7.34","1.05","14.47","1.26","12.58","25.58","6.71","1.89","0","2.1","44.03"
"2021",282,"2.48","13.12","5.32","1.42","10.64","0.71","6.03","19.86","2.84","2.13","0","1.79","39.36"
"2022",407,"6.14","22.85","8.6","1.47","16.22","0.49","14","28.75","5.9","1.47","0","1.72","44.96"
"2023",219,"0.46","8.22","0.46","0","5.94","0.91","1.83","15.07","0.46","0.46","0","1.37","32.88"
"2013 - 2023",6032,"1.78","9.72","2.33","0.40","7.99","0.50","3.58","16.93","1.77","0.74","0.00","1.38","37.19"
"SD",NA,"2.34","7.18","3.15","0.60","4.13","0.47","5.07","5.76","2.37","0.75","0.00","0.72","5.31"
