"Resistance_Pattern","Frequency","recovered_resistance_pattern"
"",505,"No"
"sul2, tet(B)",171,"Yes"
"floR, sul2, tet(A)",154,"Yes"
"tet(A)",102,NA
"tet(B)",80,NA
"tet(C)",48,NA
"mef(A)",47,NA
"glpT",23,NA
"sul2, tet(A)",19,"Yes"
"floR, sul2, tet(A), tet(B)",13,"Yes"
"gyrA",13,NA
"aadA1, tet(A)",11,"Yes"
"mef(A), tet(B)",10,"Yes"
"aadA1",9,NA
"uhpT",9,NA
"aadA1, tet(C)",7,"No"
"emrD",7,NA
"aadA1, sul2, tet(A)",6,"Yes"
"tet(B), uhpT",6,"Yes"
"dfrA14, sul2, tet(A)",5,"Yes"
"floR, sul2, tet(A), tet(C)",5,"Yes"
"mef(A), tet(A)",5,"Yes"
"mef(A), tet(C)",5,"Yes"
"ampC, sul2, tet(B)",4,"Yes"
"floR, gyrA, sul2, tet(A)",4,"Yes"
"floR, mef(A), sul2, tet(A)",4,"Yes"
"floR, tet(A)",4,"Yes"
"sul2",4,NA
"aadA1, aadA2, cmlA1, dfrA12, floR, lnu(F), sul2, sul3, tet(A)",3,"Yes"
"aadA1, aadA2, cmlA1, dfrA12, sul3, tet(A)",3,"Yes"
"aadA1, dfrA1, floR, sul1, sul2, tet(A)",3,"Yes"
"cyaA.S352T., emrD, tet(B)",3,"Yes"
"emrD, floR, sul2, tet(A)",3,"Yes"
"floR, sul1, sul2, tet(A)",3,"Yes"
"floR, sul2, tet(B)",3,"Yes"
"glpT, tet(A)",3,"Yes"
"glpT, tet(C)",3,"No"
"gyrA, sul2, tet(B)",3,"Yes"
"soxS.A12S.",3,NA
"sul2, tet(A), tet(B)",3,"Yes"
"tet(C), uhpT",3,"No"
"aadA1, aadA2, cmlA1, sul3, tet(A)",2,"Yes"
"aadA1, catA1, sul1, tet(A)",2,"Yes"
"aadA1, dfrA1, sul2, tet(B)",2,"Yes"
"aadA1, glpT, tet(A)",2,"Yes"
"aadA1, mef(A)",2,"Yes"
"aadA1, sul1",2,"No"
"aadA1, sul1, tet(A)",2,"Yes"
"aadA1, tet(B)",2,"Yes"
"aadA2, dfrA12, floR, gyrA, sul1, sul2, tet(A)",2,"Yes"
"aadA2, dfrA12, floR, sul1, sul2, tet(A)",2,"Yes"
"aadA6, floR, sul1, sul2, tet(A)",2,"Yes"
"bla, sul1, tet(C)",2,"Yes"
"bla, sul2, tet(A)",2,"Yes"
"cyaA.S352T.",2,NA
"cyaA.S352T., sul2, tet(B)",2,"Yes"
"cyaA.S352T., uhpT",2,"No"
"dfrA14, tet(A)",2,"Yes"
"dfrA5",2,NA
"dfrA5, floR, sul2, tet(A)",2,"Yes"
"dfrA5, sul2",2,"Yes"
"dfrA5, sul2, tet(A)",2,"Yes"
"dfrA5, tet(A)",2,"Yes"
"emrD, tet(A), uhpT",2,"Yes"
"floR, soxS.A12S., sul2, tet(A)",2,"Yes"
"floR, sul2, tet(A), tet(B), tet(C)",2,"Yes"
"glpT, sul2, tet(A)",2,"Yes"
"glpT, tet(B)",2,"Yes"
"gyrA, sul2, tet(A)",2,"Yes"
"gyrA, tet(B)",2,"Yes"
"sul1, sul2, tet(B)",2,"Yes"
"tet(A), tet(B)",2,"Yes"
"tet(A), uhpT",2,"Yes"
"aac(3)-IId",1,NA
"aac(3)-IId, aadA1, aadA2, cmlA1, dfrA12, glpT, lnu(F), sul3, tet(B)",1,"Yes"
"aac(3)-IId, aadA2, aph(3')-Ia, dfrA12, sul1, sul2, tet(B)",1,"Yes"
"aac(3)-IId, bleO, floR, sul2, tet(A), uhpT",1,"Yes"
"aac(3)-IId, cyaA.S352T., sul1, sul2, tet(B)",1,"Yes"
"aac(3)-IId, sul1, tet(B)",1,"Yes"
"aac(3)-IId, sul2, tet(A)",1,"Yes"
"aac(3)-IVa, aadA1, aadA2, aph(4)-Ia, cmlA1, sul3, tet(B)",1,"Yes"
"aac(3)-IVa, aph(4)-Ia, glpT, tet(A)",1,"Yes"
"aac(3)-VIa, aadA1, ampC, floR, sul2, tet(A)",1,"Yes"
"aac(3)-VIa, aadA1, bla",1,"Yes"
"aac(3)-VIa, aadA1, cyaA.S352T., sul1, sul2, tet(A)",1,"Yes"
"aac(3)-VIa, aadA1, dfrA5, floR, sul1, sul2, tet(A)",1,"Yes"
"aac(3)-VIa, aadA1, floR, sul1, sul2, tet(A)",1,"Yes"
"aac(3)-VIa, aadA1, sul1, tet(A)",1,"Yes"
"aac(3)-VIa, aadA25, cyaA.S352T., sul1, tet(B)",1,"Yes"
"aac(3)-VIa, aadA25, cyaA.S352T., tet(B)",1,"Yes"
"aac(3)-VIa, aadA25, dfrA14, sul1, sul2, tet(B)",1,"Yes"
"aac(3)-VIa, aadA25, dfrA5, sul2",1,"Yes"
"aac(3)-VIa, aadA25, floR, sul1, sul2, tet(A), tet(B)",1,"Yes"
"aac(3)-VIa, aadA25, tet(A)",1,"Yes"
"aac(3)-VIa, aadA6, cyaA.S352T., emrD, sul1, tet(B)",1,"Yes"
"aac(3)-VIa, aadA6, floR, sul2, tet(A)",1,"Yes"
"aac(3)-VIa, aadA6, floR, sul2, tet(A), tet(B)",1,"Yes"
"aac(3)-VIa, bla",1,"Yes"
"aac(3)-VIa, floR, sul1, sul2, tet(A)",1,"Yes"
"aac(6')-Ib-cr, catA1, catB3, dfrA1, floR, gyrA, sul1, sul2, tet(B)",1,"Yes"
"aadA1, aadA2, ampC, cmlA1, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, aph(3')-Ia, cmlA1, dfrA12, erm(B), floR, sul2, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, aph(3')-Ia, cmlA1, floR, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, cyaA.S352T., dfrA12, emrD, floR, lnu(F), sul2, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, dfrA1, dfrA12, floR, lnu(F), sul2, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, dfrA12, floR, gyrA, sul2, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, dfrA12, floR, lnu(F), sul2, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, dfrA12, floR, sul2, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, dfrA12, sul2, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, dfrA16, floR, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, glpT, sul3, tet(A)",1,"Yes"
"aadA1, aadA2, cmlA1, sul3, tet(B)",1,"Yes"
"aadA1, aadA2, dfrA1, dfrA23, floR, sul1, sul2, tet(A)",1,"Yes"
"aadA1, aadA22, cyaA.S352T., dfrA14, emrD, floR, lnu(F), sul3, tet(A), uhpT",1,"Yes"
"aadA1, ampC, sul2, tet(B)",1,"Yes"
"aadA1, aph(3')-Ia, dfrA1, sul1, tet(A)",1,"Yes"
"aadA1, aph(6)-Ic, tet(A), tet(B)",1,"Yes"
"aadA1, arr.2.mdtM, bla, cmlA5, dfrA14, floR, sul2, tet(A), tet(B)",1,"Yes"
"aadA1, bla, catA1, cyaA.S352T., sul1",1,"Yes"
"aadA1, bla, catA1, floR, sul1, sul2, tet(A), tet(B)",1,"Yes"
"aadA1, bla, catA1, sul1, sul2, tet(B)",1,"Yes"
"aadA1, bla, glpT, sul2",1,"Yes"
"aadA1, bla, sul1, tet(A)",1,"Yes"
"aadA1, catA1, dfrA1, emrD, sul1, uhpT",1,"Yes"
"aadA1, catA1, dfrA5, sul1, sul2, tet(A)",1,"Yes"
"aadA1, catA1, sul1, tet(B)",1,"Yes"
"aadA1, cyaA.S352T., dfrA1, emrD, floR, sul2, tet(A)",1,"Yes"
"aadA1, cyaA.S352T., emrD, floR, sul1, sul2, tet(A)",1,"Yes"
"aadA1, cyaA.S352T., emrD, sul1, sul2, tet(A), tet(B)",1,"Yes"
"aadA1, cyaA.S352T., emrD, sul1, tet(A)",1,"Yes"
