"Resistance_Pattern","Frequency","recovered_resistance_pattern"
"",282,"No"
"BETA-LACTAM, EFFLUX",188,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",152,"Yes"
"TETRACYCLINE",110,NA
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",80,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",72,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",54,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",50,"Yes"
"BETA-LACTAM, EFFLUX, TETRACYCLINE",47,"Yes"
"MACROLIDE",46,NA
"BETA-LACTAM, EFFLUX, FOSFOMYCIN",40,"Yes"
"AMINOGLYCOSIDE, TETRACYCLINE",38,"Yes"
"BETA-LACTAM, TETRACYCLINE",26,"Yes"
"BETA-LACTAM",20,NA
"QUINOLONE",20,NA
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",18,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",16,"Yes"
"BETA-LACTAM, EFFLUX, FOSFOMYCIN, TETRACYCLINE",16,"Yes"
"MACROLIDE, TETRACYCLINE",16,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, TETRACYCLINE",14,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",14,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, TETRACYCLINE",10,"Yes"
"AMINOGLYCOSIDE",8,NA
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",7,"Yes"
"EFFLUX, FOSFOMYCIN, TETRACYCLINE",7,"Yes"
"FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",7,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR",6,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",6,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",6,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, TETRACYCLINE",5,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, STREPTOTHRICIN, TETRACYCLINE",5,"Yes"
"AMINOGLYCOSIDE, MACROLIDE, TETRACYCLINE",5,"Yes"
"BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",5,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",4,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, PHENICOL, TETRACYCLINE",4,"Yes"
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",4,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, cyaA.S352T., EFFLUX, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, QUINOLONE, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, STREPTOTHRICIN, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOSFOMYCIN, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, STREPTOTHRICIN",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, EFFLUX, FOLATE-PATHWAY-INHIBITOR, FOSFOMYCIN, PHENICOL, TETRACYCLINE",3,"Yes"
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR",3,"Yes"
