"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"",5628,"No",NA,NA,NA,NA
"TETRACYCLINE",1337,NA,NA,NA,NA,NA
"FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",515,"Yes",0.611671190686845,0.382980497196719,0.680180937385595,0.187871758882372
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",242,"Yes",0.608955324375764,0.404207488684309,0.65006371964954,0.082497743004319
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",156,"Yes",0.615134990662088,0.391545809287548,0.677563413083973,0.111249879016838
"BETA-LACTAM, TETRACYCLINE",120,"Yes",0.572461381246114,0.33448562263307,0.656390219686949,0.283871281903197
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",75,"Yes",0.614544900576441,0.39775571237852,0.669166412135808,0.164037633220194
"BETA-LACTAM",72,NA,NA,NA,NA,NA
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",27,"Yes",0.615134990662088,0.391545809287548,0.677563413083973,0.111249879016838
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",26,"Yes",0.608955324375764,0.404207488684309,0.65006371964954,0.082497743004319
"FOLATE-PATHWAY-INHIBITOR",22,NA,NA,NA,NA,NA
"PHENICOL, TETRACYCLINE",14,"Yes",0.556604168762985,0.312221707686228,0.651721877536728,0.27462866316122
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR",11,"Yes",0.623061637343083,0.446759259259259,0.632166981625186,0.0978661902923777
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",9,"Yes",0.614544900576441,0.39775571237852,0.669166412135808,0.164037633220194
"FOLATE-PATHWAY-INHIBITOR, PHENICOL",8,"Yes",0.62841122806413,0.409423190567869,0.684082159055979,0.0578354434637471
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",7,"Yes",0.614544900576441,0.39775571237852,0.669166412135808,0.164037633220194
"FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",7,"Yes",0.611671190686845,0.382980497196719,0.680180937385595,0.187871758882372
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",6,"Yes",0.608955324375764,0.404207488684309,0.65006371964954,0.082497743004319
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",6,"Yes",0.608955324375764,0.404207488684309,0.65006371964954,0.082497743004319
"BETA-LACTAM, PHENICOL, TETRACYCLINE",6,"Yes",0.579944474690189,0.380167890230525,0.616106934966678,0.125015180077866
"QUINOLONE, TETRACYCLINE",6,"Yes",0.563579421270707,0.317932812263463,0.658966406131732,0.317932812263463
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",5,"Yes",0.611671190686845,0.382980497196719,0.680180937385595,0.187871758882372
"PHENICOL, QUINOLONE, TETRACYCLINE",5,"Yes",0.556604168762985,0.312221707686228,0.651721877536728,0.27462866316122
"QUINOLONE",4,NA,NA,NA,NA,NA
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, QUINOLONE, TETRACYCLINE",3,"Yes",0.606044410443945,0.398381549200629,0.650921766189773,0.0766416385607815
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",2,"Yes",0.608955324375764,0.404207488684309,0.65006371964954,0.082497743004319
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",2,"Yes",0.615134990662088,0.391545809287548,0.677563413083973,0.111249879016838
"AMINOGLYCOSIDE, TETRACYCLINE",2,"Yes",0.563579421270707,0.317932812263463,0.658966406131732,0.317932812263463
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",2,"Yes",0.614544900576441,0.39775571237852,0.669166412135808,0.164037633220194
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL",2,"Yes",0.613369021197689,0.415612377300384,0.646024468008566,0.0533140519883956
"BETA-LACTAM, PHENICOL, QUINOLONE, TETRACYCLINE",2,"Yes",0.579944474690189,0.380167890230525,0.616106934966678,0.125015180077866
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE",2,"Yes",0.62841122806413,0.409423190567869,0.684082159055979,0.0578354434637471
"PHENICOL",2,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR",1,"Yes",0.623061637343083,0.446759259259259,0.632166981625186,0.0978661902923777
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.608955324375764,0.404207488684309,0.65006371964954,0.082497743004319
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, QUINOLONE, TETRACYCLINE",1,"Yes",0.610916156050898,0.39147060222777,0.668922534529062,0.1481982057532
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes",0.614544900576441,0.39775571237852,0.669166412135808,0.164037633220194
"AMINOGLYCOSIDE, BETA-LACTAM, PHENICOL",1,"Yes",0.592834204553713,0.415661779492633,0.598850117043436,0.0465153287821501
"AMINOGLYCOSIDE, BETA-LACTAM, TETRACYCLINE",1,"Yes",0.572461381246114,0.33448562263307,0.656390219686949,0.283871281903197
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR",1,"No",NA,NA,NA,NA
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes",0.611671190686845,0.382980497196719,0.680180937385595,0.187871758882372
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, QUINOLONE, TETRACYCLINE",1,"Yes",0.610916156050898,0.39147060222777,0.668922534529062,0.1481982057532
"BETA-LACTAM, QUINOLONE, TETRACYCLINE",1,"Yes",0.572461381246114,0.33448562263307,0.656390219686949,0.283871281903197
"FOLATE-PATHWAY-INHIBITOR, QUINOLONE",1,"No",NA,NA,NA,NA
"MACROLIDE",1,NA,NA,NA,NA,NA
"MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.556604168762985,0.312221707686228,0.651721877536728,0.27462866316122
