"ID","Year","AMC","AMP","AXO","AZI","CHL","CIP","COT","FIS","FOX","GEN","MER","NAL","STR","TET"
210271082,2017,0,0,0,0,0,0,0,1,0,0,0,0,1,1
210271083,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210271084,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210271085,2017,0,0,0,0,0,0,1,1,0,0,0,0,1,1
210271088,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210271090,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210271093,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210271095,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210271097,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210271100,2017,0,0,0,0,0,0,0,1,0,0,0,0,1,1
210271102,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210271104,2017,0,0,0,0,1,0,0,1,0,0,0,1,1,1
210271107,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272086,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272087,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272088,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272089,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272090,2017,0,0,0,0,0,0,0,1,0,0,0,0,1,1
210272092,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272093,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272094,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272095,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272096,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272098,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272100,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272103,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272105,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272106,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272107,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272111,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272112,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,1
210272114,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272115,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272117,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272118,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272120,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272122,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272123,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272126,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,1
210272383,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,1
210272385,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272387,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272391,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272399,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272401,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272403,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210272410,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210272411,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210273696,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210273699,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210273700,2017,0,0,0,0,0,0,0,1,0,0,0,0,1,1
210273703,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210273704,2017,0,0,0,0,0,0,0,1,0,0,0,0,1,1
210273705,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210273968,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210273972,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210273973,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210273974,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
