Resistance_Pattern,Frequency,recovered_resistance_pattern,avg_cosine,avg_jaccard,avg_kulczynski,avg_support,Source
FIS; TET,415,Yes,0.62,0.39,0.69,0.23,Cecal
FIS; TET,196,Yes,0.6,0.38,0.66,0.11,Retail Meats
AMP; CHL; FIS; TET,140,Yes,0.61,0.41,0.65,0.11,Cecal
CHL; FIS; TET,129,Yes,0.63,0.41,0.69,0.15,Cecal
ENR; GEN; NEO; SPE; TIO,122,Yes,0.56,0.37,0.59,0.15,NAHLN
ENR; NEO; SPE; TIO,103,Yes,0.57,0.38,0.6,0.18,NAHLN
AMP; TET,86,Yes,0.61,0.38,0.67,0.3,Cecal
NEO; SPE; TIO,71,Yes,0.59,0.4,0.62,0.21,NAHLN
NEO; SPE,66,Yes,0.59,0.39,0.64,0.25,NAHLN
AMP; TET,63,Yes,0.55,0.3,0.64,0.18,Retail Meats
NEO; TIO,61,Yes,0.58,0.37,0.63,0.25,NAHLN
ENR; TIO,53,Yes,0.58,0.37,0.63,0.25,NAHLN
ENR; NEO; TIO,52,Yes,0.57,0.38,0.6,0.21,NAHLN
ENR; NEO,47,Yes,0.56,0.36,0.61,0.26,NAHLN
AMP; CHL; COT; FIS; TET,45,Yes,0.6,0.4,0.64,0.1,Cecal
ENR; SPE; TIO,41,Yes,0.58,0.38,0.6,0.2,NAHLN
AMP; CHL; FIS; TET,38,Yes,0.6,0.4,0.64,0.05,Retail Meats
CHL; FIS; TET,37,Yes,0.61,0.39,0.67,0.08,Retail Meats
SPE; TIO,37,Yes,0.58,0.38,0.63,0.24,NAHLN
ENR; NEO; SPE,34,Yes,0.57,0.38,0.6,0.21,NAHLN
