Class Level Genotype Resistance Prevalence,,,,,,,,,,,,,,,,,,,
Retail Meats,Year,N,AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,FOLATE-PATHWAY-INHIBITOR,FOSFOMYCIN,FOSMIDOMYCIN,LINCOSAMIDE,MACROLIDE,MULTIDRUG,NITROFURAN,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOTHRICIN,TETRACYCLINE,TRICLOSAN
,2017,142,9.15,5.63,0.7,5.63,93.66,4.23,0,0.7,1.41,0,2.82,3.52,0,0,2.11,26.06,0
,2018,123,18.7,5.69,0.81,12.2,98.37,4.88,0,0,0.81,0,4.07,3.25,0,0,5.69,24.39,0
,2019,271,12.18,2.95,0,8.12,97.79,1.85,0.37,0,0.74,0.37,2.58,1.48,0,0,3.32,23.62,0
,2020,167,12.57,6.59,0,8.98,95.21,2.99,0,0,0,0,2.4,0,0,0,1.8,20.96,0
,2021,343,15.16,5.54,0,12.24,97.67,3.79,0,0.29,2.33,0,4.66,2.33,0,0,5.83,20.41,0
Mean,2017 - 2021,1046,13.55,5.28,0.3,9.43,96.54,3.55,0.07,0.2,1.06,0.07,3.31,2.12,0,0,3.75,23.09,0
Standard Deviation,,,3.58,1.37,0.42,2.83,2.02,1.17,0.17,0.31,0.87,0.17,1,1.43,0,0,1.92,2.37,0
Cecal,2017,87,86.21,39.08,2.3,85.06,94.25,3.45,0,1.15,0,1.15,31.03,10.34,0,0,2.3,93.1,0
,2018,409,38.88,17.36,0.98,34.72,94.62,1.96,0,0.24,2.2,0.24,19.07,4.89,0,0,3.67,53.79,0
,2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
,2020,188,60.64,45.74,0.53,53.19,88.83,11.7,3.19,2.66,0,2.66,26.6,7.98,0.53,0,7.45,70.74,0
,2021,165,35.15,21.82,0,33.94,93.33,4.85,1.82,2.42,2.42,0.61,17.58,5.45,0,0.61,4.24,54.55,0
,2018,31,54.84,41.94,0,54.84,93.55,6.45,0,0,0,9.68,38.71,32.26,0,0,0,67.74,0
Mean,2017 - 2021,849,55.22,31,0.95,51.73,92.76,5.49,1.25,1.62,1.15,1.16,23.57,7.16,0.13,0.15,4.42,68.04,0
Standard Deviation,,,23.52,13.58,0.98,23.94,2.67,4.3,1.55,1.13,1.34,1.06,6.35,2.51,0.26,0.3,2.18,18.44,0
NAHLN,2019,74,59.46,56.76,2.7,56.76,85.14,12.16,9.46,6.76,0,0,37.84,27.03,1.35,0,5.41,71.62,1.35
,2020,83,54.22,46.99,1.2,51.81,85.54,9.64,2.41,1.2,3.61,1.2,31.33,13.25,0,0,4.82,59.04,0
,2021,91,56.04,39.56,1.1,52.75,90.11,5.49,8.79,10.99,1.1,1.1,40.66,26.37,3.3,2.2,2.2,65.93,0
,2022,3,33.33,33.33,0,33.33,100,0,0,0,0,0,33.33,0,0,0,0,33.33,0
Mean,2018 - 2022,282,51.58,43.72,1,49.9,90.87,6.75,4.13,3.79,0.94,2.4,36.37,19.78,0.93,0.44,2.49,59.53,0.27
Standard Deviation,,,10.4,8.79,1.11,9.46,6.17,4.61,4.67,4.9,1.57,4.11,3.89,13.09,1.45,0.98,2.57,15.34,0.6
