"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"",1048,"No",NA,NA,NA,NA
"ENR",160,NA,NA,NA,NA,NA
"NEO",123,NA,NA,NA,NA,NA
"ENR, GEN, NEO, SPE, TIO",122,"Yes",0.564872114779919,0.373082992813059,0.591510582535759,0.154947641322662
"ENR, NEO, SPE, TIO",103,"Yes",0.572568840001108,0.382594531667424,0.596673747529753,0.180255647253257
"SPE",87,NA,NA,NA,NA,NA
"TIO",81,NA,NA,NA,NA,NA
"NEO, SPE, TIO",71,"Yes",0.592087832989347,0.399394320454833,0.620684355038299,0.210244009660196
"NEO, SPE",66,"Yes",0.593123371958642,0.387662739197232,0.638691879581104,0.253113922616432
"NEO, TIO",61,"Yes",0.581575358406045,0.372801503654896,0.632328144245959,0.247448559344231
"ENR, TIO",53,"Yes",0.58267269886891,0.371841308097864,0.634743102567549,0.254615933686522
"ENR, NEO, TIO",52,"Yes",0.573485153637739,0.378632478729627,0.604577406791836,0.207660899956761
"ENR, NEO",47,"Yes",0.564399490927338,0.355091879455644,0.613981762026519,0.257492521697977
"ENR, SPE, TIO",41,"Yes",0.57529221288044,0.38221309818673,0.603885564488396,0.203562494534873
"SPE, TIO",37,"Yes",0.582306830209887,0.376153923961962,0.629840351309914,0.242398481496045
"ENR, NEO, SPE",34,"Yes",0.56937823177708,0.376197521880614,0.598109291970774,0.207090952769962
"COT",32,NA,NA,NA,NA,NA
"ENR, SPE",29,"Yes",0.561411016085144,0.358165366193437,0.602552510760357,0.241719655944581
"ENR, GEN, NEO, SPE",26,"Yes",0.56375876673707,0.367323888032974,0.596258241752285,0.164460046133741
"ENR, GEN, SPE, TIO",24,"Yes",0.56683840895211,0.37024690272126,0.599570525348429,0.165263632512976
"GEN, NEO, SPE, TIO",23,"Yes",0.576465248866662,0.379682967516958,0.610006233548654,0.173342883734982
"COT, ENR",20,"Yes",0.578309151994567,0.335456250777794,0.667728125388897,0.335456250777794
"GEN, SPE",17,"Yes",0.567670100987374,0.338019028630256,0.63999606754376,0.169821562956311
"ENR, GEN, SPE",14,"Yes",0.562370022133238,0.355450623047333,0.607296501970477,0.172105025605181
"GEN, NEO, SPE",13,"Yes",0.57434453931489,0.366044365543674,0.622053181821404,0.181315169597674
"ENR, GEN, NEO, TIO",11,"Yes",0.564643124276097,0.370370103839671,0.595243468517919,0.191529767741456
"COT, ENR, GEN, NEO, SPE, TIO",9,"Yes",0.564872114779919,0.373082992813059,0.591510582535759,0.154947641322662
"GEN, SPE, TIO",9,"Yes",0.568525976603467,0.360131171668182,0.616909916949726,0.176964693940915
"COT, ENR, GEN, NEO, SPE",8,"Yes",0.56375876673707,0.367323888032974,0.596258241752285,0.164460046133741
"COT, ENR, NEO, SPE, TIO",6,"Yes",0.572568840001108,0.382594531667424,0.596673747529753,0.180255647253257
"COT, ENR, SPE, TIO",5,"Yes",0.57529221288044,0.38221309818673,0.603885564488396,0.203562494534873
"COT, SPE",4,"Yes",0.566063959805881,0.320556285037532,0.660278142518766,0.320556285037532
"ENR, GEN, TIO",4,"Yes",0.567986278988623,0.359796503813496,0.616814093926899,0.22361835807259
"GEN, NEO",4,"Yes",0.546325049276141,0.314453769394587,0.626468748674216,0.260880659939955
"COT, ENR, NEO",3,"Yes",0.564399490927338,0.355091879455644,0.613981762026519,0.257492521697977
"COT, ENR, TIO",3,"Yes",0.58267269886891,0.371841308097864,0.634743102567549,0.254615933686522
"GEN, NEO, TIO",3,"Yes",0.56962837434399,0.362461416192467,0.618330399721027,0.225911566284396
"COT, GEN, SPE",2,"Yes",0.567670100987374,0.338019028630256,0.63999606754376,0.169821562956311
"COT, SPE, TIO",2,"Yes",0.582306830209887,0.376153923961962,0.629840351309914,0.242398481496045
"COT, TIO",2,"Yes",0.544091167150593,0.296661241977941,0.648330620988971,0.296661241977941
"GEN",2,NA,NA,NA,NA,NA
"GEN, TIO",2,"Yes",0.535635335229717,0.302126451036875,0.620656325916492,0.245679915980022
"COT, ENR, GEN, SPE, TIO",1,"Yes",0.56683840895211,0.37024690272126,0.599570525348429,0.165263632512976
"COT, ENR, NEO, SPE",1,"Yes",0.56937823177708,0.376197521880614,0.598109291970774,0.207090952769962
"COT, ENR, NEO, TIO",1,"Yes",0.573485153637739,0.378632478729627,0.604577406791836,0.207660899956761
"COT, ENR, SPE",1,"Yes",0.561411016085144,0.358165366193437,0.602552510760357,0.241719655944581
"COT, NEO",1,"Yes",0.562738607930633,0.317942283521849,0.658971141760924,0.317942283521849
"COT, NEO, SPE, TIO",1,"Yes",0.592087832989347,0.399394320454833,0.620684355038299,0.210244009660196
"ENR, GEN",1,"Yes",0.557910179567786,0.325598284832255,0.63542107093437,0.266330439763193
"ENR, GEN, NEO",1,"Yes",0.553083358439993,0.347443775338041,0.598356395055946,0.219240070514053
