"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"MACROLIDE",311,NA,NA,NA,NA,NA
"",104,"No",NA,NA,NA,NA
"MACROLIDE, TETRACYCLINE",41,"Yes",1,1,1,1
"TETRACYCLINE",22,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",20,"Yes",0.700862656513575,0.513735867168648,0.739520880598891,0.131118105998489
"AMINOGLYCOSIDE, MACROLIDE, TETRACYCLINE",15,"Yes",0.73783865505524,0.576992838602746,0.766738632236528,0.267601530759425
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",5,"Yes",0.627628414337173,0.427553094896625,0.669415309606047,0.0522940786098681
"FOSFOMYCIN, MACROLIDE",5,"Yes",1,1,1,1
"AMINOGLYCOSIDE, BETA-LACTAM, MACROLIDE, TETRACYCLINE",4,"Yes",0.706322617293119,0.542184337849973,0.733653390687302,0.234198995477191
"AMINOGLYCOSIDE, TETRACYCLINE",4,"Yes",0.662364138906084,0.462957750883447,0.704022069519966,0.114448377606272
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",3,"Yes",0.620920423028129,0.418458659470362,0.663000122419186,0.0374109242274802
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, QUINOLONE, TETRACYCLINE",3,"Yes",0.621595286973825,0.414569066885635,0.672912848858154,0.0620159520073239
"AMINOGLYCOSIDE, MACROLIDE",3,"Yes",1,1,1,1
"FOSFOMYCIN",3,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, PHENICOL, TETRACYCLINE",2,"Yes",0.643524478183512,0.434563994370898,0.700318898822534,0.0787193681930524
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",2,"Yes",0.681373262918127,0.484883721692718,0.721576645168988,0.0858447503184345
"BETA-LACTAM, TETRACYCLINE",2,"No",NA,NA,NA,NA
"QUINOLONE",2,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE",1,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, LINCOSAMIDE, MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes",0.627628414337173,0.427553094896625,0.669415309606047,0.0522940786098681
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",1,"Yes",0.676420539170386,0.488042026740939,0.713661090452269,0.113697234352646
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",1,"Yes",0.647433030286915,0.451486623711348,0.684938137323478,0.070213053466642
"AMINOGLYCOSIDE, BETA-LACTAM, TETRACYCLINE",1,"Yes",0.626079701859661,0.430551646495919,0.66180203748796,0.0942822291506502
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",1,"Yes",0.637875116661675,0.424031962906137,0.695673954843651,0.0538377117324486
"AMINOGLYCOSIDE, FOSFOMYCIN, MACROLIDE",1,"Yes",1,1,1,1
"AMINOGLYCOSIDE, FOSFOMYCIN, MACROLIDE, TETRACYCLINE",1,"Yes",0.73783865505524,0.576992838602746,0.766738632236528,0.267601530759425
"BETA-LACTAM",1,NA,NA,NA,NA,NA
"COLISTIN, MACROLIDE",1,"Yes",1,1,1,1
"FOLATE-PATHWAY-INHIBITOR, MACROLIDE",1,"Yes",1,1,1,1
"FOLATE-PATHWAY-INHIBITOR, MACROLIDE, TETRACYCLINE",1,"Yes",0.679594676578486,0.495796676441838,0.7387841191067,0.268678689731321
"FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",1,"Yes",0.599493345723107,0.369745845552297,0.673480148883375,0.0858483621641516
"MACROLIDE, PHENICOL, TETRACYCLINE",1,"Yes",1,1,1,1
"MACROLIDE, QUINOLONE",1,"Yes",1,1,1,1
"MACROLIDE, QUINOLONE, TETRACYCLINE",1,"Yes",1,1,1,1
