"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"",3475,"No",NA,NA,NA,NA
"TETRACYCLINE",544,NA,NA,NA,NA,NA
"FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",218,"Yes",0.595787220445837,0.37354750803549,0.659107541535655,0.100300632921242
"BETA-LACTAM, TETRACYCLINE",69,"Yes",0.534307736911571,0.292573274455666,0.63320342414462,0.196601449670282
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",49,"Yes",0.59846625106001,0.39697174164271,0.637410235116648,0.0485452423071187
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",49,"Yes",0.580561377466521,0.370125462034784,0.629316885227064,0.0833470073810452
"BETA-LACTAM",45,NA,NA,NA,NA,NA
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",36,"Yes",0.601463748078404,0.378644027752283,0.666226804790945,0.0715186827342338
"FOLATE-PATHWAY-INHIBITOR",21,NA,NA,NA,NA,NA
"QUINOLONE",13,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",12,"Yes",0.578106418422792,0.367045658793174,0.627981433814479,0.0790989846354525
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",11,"Yes",0.592574799907725,0.368504417905801,0.658660962406967,0.095659441384352
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR",10,"Yes",0.541307112594856,0.365,0.548387709233297,0.0440983454332918
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",3,"Yes",0.59680407409868,0.394731033917216,0.636564430983382,0.0480018060190312
"FOLATE-PATHWAY-INHIBITOR, PHENICOL",3,"Yes",0.610049033304163,0.387040270653716,0.675640351834514,0.0352357715638669
"FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",3,"Yes",0.602134802231232,0.376306981686797,0.669564664018728,0.0594606841840003
"QUINOLONE, TETRACYCLINE",3,"Yes",0.520142524482247,0.27117190764256,0.63558595382128,0.27117190764256
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",2,"Yes",0.599354669753444,0.375498909428545,0.665658385154519,0.0700795260543125
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",2,"Yes",0.580446695028061,0.368811457438303,0.630650805992764,0.0805276602011369
"BETA-LACTAM, QUINOLONE",2,"No",NA,NA,NA,NA
"BETA-LACTAM, QUINOLONE, TETRACYCLINE",2,"Yes",0.534307736911571,0.292573274455666,0.63320342414462,0.196601449670282
"FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",2,"Yes",0.595787220445837,0.37354750803549,0.659107541535655,0.100300632921242
"PHENICOL, QUINOLONE, TETRACYCLINE",2,"Yes",0.581786434394541,0.340622641478274,0.670311320739137,0.0810261131129072
"PHENICOL, TETRACYCLINE",2,"Yes",0.520142524482247,0.27117190764256,0.63558595382128,0.27117190764256
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR",1,"Yes",0.549708796804679,0.360786240786241,0.572250848320367,0.0419328490670473
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",1,"Yes",0.603651123247042,0.39601791536962,0.649574194280816,0.0395962063324848
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes",0.576698796713868,0.363393477887182,0.62968178117622,0.0744319045748067
"AMINOGLYCOSIDE, BETA-LACTAM, TETRACYCLINE",1,"Yes",0.534307736911571,0.292573274455666,0.63320342414462,0.196601449670282
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR",1,"Yes",0.569494797451499,0.324324324324324,0.662162162162162,0.0406779661016949
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, QUINOLONE, TETRACYCLINE",1,"Yes",0.592574799907725,0.368504417905801,0.658660962406967,0.095659441384352
"BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",1,"Yes",0.601002378356986,0.394165577346143,0.645809415488873,0.0419861040730424
"PHENICOL",1,NA,NA,NA,NA,NA
