"ID","Year","SOURCE","Drugcode","MIC_SIGN","MIC","Minimum","Maximum"
"17CO02GB06",2017,"Retail Ground Beef","AMC","<=",1,0,1
"17CO02GB06",2017,"Retail Ground Beef","AMP","<=",1,0,1
"17CO02GB06",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO02GB06",2017,"Retail Ground Beef","AZI","=",2,2,2
"17CO02GB06",2017,"Retail Ground Beef","CHL","<=",2,0,2
"17CO02GB06",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO02GB06",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO02GB06",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO02GB06",2017,"Retail Ground Beef","FOX","=",2,2,2
"17CO02GB06",2017,"Retail Ground Beef","GEN","=",1,1,1
"17CO02GB06",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO02GB06",2017,"Retail Ground Beef","NAL","=",2,2,2
"17CO02GB06",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO02GB06",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO04GB01",2017,"Retail Ground Beef","AMC","=",2,2,2
"17CO04GB01",2017,"Retail Ground Beef","AMP","=",2,2,2
"17CO04GB01",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO04GB01",2017,"Retail Ground Beef","AZI","=",8,8,8
"17CO04GB01",2017,"Retail Ground Beef","CHL","=",4,4,4
"17CO04GB01",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO04GB01",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO04GB01",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO04GB01",2017,"Retail Ground Beef","FOX","=",4,4,4
"17CO04GB01",2017,"Retail Ground Beef","GEN","=",2,2,2
"17CO04GB01",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO04GB01",2017,"Retail Ground Beef","NAL","=",1,1,1
"17CO04GB01",2017,"Retail Ground Beef","STR","=",16,16,16
"17CO04GB01",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO06GB01",2017,"Retail Ground Beef","AMC","<=",1,0,1
"17CO06GB01",2017,"Retail Ground Beef","AMP","<=",1,0,1
"17CO06GB01",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO06GB01",2017,"Retail Ground Beef","AZI","=",4,4,4
"17CO06GB01",2017,"Retail Ground Beef","CHL","=",8,8,8
"17CO06GB01",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO06GB01",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO06GB01",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO06GB01",2017,"Retail Ground Beef","FOX","=",4,4,4
"17CO06GB01",2017,"Retail Ground Beef","GEN","=",0,0,0
"17CO06GB01",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO06GB01",2017,"Retail Ground Beef","NAL","=",1,1,1
"17CO06GB01",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO06GB01",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO06GB03",2017,"Retail Ground Beef","AMC","=",2,2,2
"17CO06GB03",2017,"Retail Ground Beef","AMP","=",2,2,2
"17CO06GB03",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO06GB03",2017,"Retail Ground Beef","AZI","=",4,4,4
"17CO06GB03",2017,"Retail Ground Beef","CHL","=",8,8,8
"17CO06GB03",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO06GB03",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO06GB03",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO06GB03",2017,"Retail Ground Beef","FOX","=",4,4,4
"17CO06GB03",2017,"Retail Ground Beef","GEN","=",0,0,0
"17CO06GB03",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO06GB03",2017,"Retail Ground Beef","NAL","=",1,1,1
"17CO06GB03",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO06GB03",2017,"Retail Ground Beef","TET","<=",4,0,4
"17CO07GB02",2017,"Retail Ground Beef","AMC","=",2,2,2
"17CO07GB02",2017,"Retail Ground Beef","AMP","=",2,2,2
"17CO07GB02",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO07GB02",2017,"Retail Ground Beef","AZI","=",4,4,4
"17CO07GB02",2017,"Retail Ground Beef","CHL","=",8,8,8
"17CO07GB02",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO07GB02",2017,"Retail Ground Beef","COT","<=",0,0,0
"17CO07GB02",2017,"Retail Ground Beef","FIS","<=",16,0,16
"17CO07GB02",2017,"Retail Ground Beef","FOX","=",2,2,2
"17CO07GB02",2017,"Retail Ground Beef","GEN","=",0,0,0
"17CO07GB02",2017,"Retail Ground Beef","MER","<=",0.06,0,0.06
"17CO07GB02",2017,"Retail Ground Beef","NAL","=",4,4,4
"17CO07GB02",2017,"Retail Ground Beef","STR","=",8,8,8
"17CO07GB02",2017,"Retail Ground Beef","TET",">",32,32.1,99999
"17CO07GB10",2017,"Retail Ground Beef","AMC","=",4,4,4
"17CO07GB10",2017,"Retail Ground Beef","AMP","=",4,4,4
"17CO07GB10",2017,"Retail Ground Beef","AXO","<=",0.25,0,0.25
"17CO07GB10",2017,"Retail Ground Beef","AZI","=",4,4,4
"17CO07GB10",2017,"Retail Ground Beef","CHL","=",8,8,8
"17CO07GB10",2017,"Retail Ground Beef","CIP","<=",0,0,0
"17CO07GB10",2017,"Retail Ground Beef","COT","<=",0,0,0
