"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"",282,"No",NA,NA,NA,NA
"BETA-LACTAM, EFFLUX",188,"Yes",0.944441818142496,0.903770059428943,0.951885029714471,0.900720283968653
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",152,"Yes",0.812816995494449,0.677813714151491,0.830949485903875,0.4525398225479
"TETRACYCLINE",110,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",80,"Yes",0.668179734723176,0.475506428608339,0.711636978959671,0.265314022532136
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",72,"Yes",0.707931724842567,0.520326298310843,0.750921153663642,0.301413059980422
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",54,"Yes",0.746586385853489,0.584467980105709,0.777137759512998,0.407205175026998
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, FOLATE-PATHWAY-INHIBITOR, PHENICOL, TETRACYCLINE",50,"Yes",0.676539577685933,0.484283324374602,0.720241111799213,0.275340321909416
"BETA-LACTAM, EFFLUX, TETRACYCLINE",47,"Yes",0.778803420405458,0.634500792159411,0.806931105200972,0.627806985876492
"MACROLIDE",46,NA,NA,NA,NA,NA
"BETA-LACTAM, EFFLUX, FOSFOMYCIN",40,"Yes",0.835857026700528,0.742878776377348,0.871439388188674,0.740425709159696
"AMINOGLYCOSIDE, TETRACYCLINE",38,"Yes",0.780529731439327,0.626314830723373,0.806785567077051,0.510568591883776
"BETA-LACTAM, TETRACYCLINE",26,"Yes",0.74679301426507,0.584950887904238,0.777595630629237,0.576797818123909
"BETA-LACTAM",20,NA,NA,NA,NA,NA
"QUINOLONE",20,NA,NA,NA,NA,NA
"AMINOGLYCOSIDE, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",18,"Yes",0.707931724842567,0.520326298310843,0.750921153663642,0.301413059980422
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, TETRACYCLINE",16,"Yes",0.745508054154375,0.586423277519671,0.774334406325993,0.398774110495279
"BETA-LACTAM, EFFLUX, FOSFOMYCIN, TETRACYCLINE",16,"Yes",0.7543760778572,0.600473895346971,0.790855774147364,0.594328349408885
"MACROLIDE, TETRACYCLINE",16,"Yes",0.744162487603626,0.569881900166057,0.784940950083029,0.569881900166057
"AMINOGLYCOSIDE, BETA-LACTAM, EFFLUX, TETRACYCLINE",14,"Yes",0.729585795526669,0.561161212162837,0.765665082221958,0.482055231409163
"AMINOGLYCOSIDE, BETA-LACTAM, FOLATE-PATHWAY-INHIBITOR, PHENICOL, QUINOLONE, TETRACYCLINE",14,"Yes",0.668179734723176,0.475506428608339,0.711636978959671,0.265314022532136
"AMINOGLYCOSIDE, BETA-LACTAM, TETRACYCLINE",10,"Yes",0.724794905783592,0.55593608206482,0.757173024836083,0.46566725215993
"AMINOGLYCOSIDE",8,NA,NA,NA,NA,NA
