"Resistance_Pattern","Frequency","recovered_resistance_pattern","avg_cosine","avg_jaccard","avg_kulczynski","avg_support"
"",3672,"No",NA,NA,NA,NA
"TET",1156,NA,NA,NA,NA,NA
"FIS, TET",415,"Yes",0.61929415457222,0.393652928391874,0.685357824210621,0.233647893617518
"AMP, CHL, FIS, TET",140,"Yes",0.610480431053608,0.406979309797754,0.651331519735392,0.111401393545259
"CHL, FIS, TET",129,"Yes",0.627677174734497,0.407052335132949,0.687809328677725,0.148280966956543
"AMP, TET",86,"Yes",0.607051841255736,0.378934020443746,0.674853565230375,0.30349368374386
"AMP, CHL, COT, FIS, TET",45,"Yes",0.603647464310629,0.40191618462855,0.642430045612998,0.100284693023564
"AMP",37,NA,NA,NA,NA,NA
"AMP, FIS, TET",27,"Yes",0.616323671033539,0.403229057185777,0.669088222100733,0.191292243415751
"CHL, COT, FIS, TET",17,"Yes",0.614182904171147,0.400412760049407,0.666629655764604,0.126897736679081
"FIS",17,NA,NA,NA,NA,NA
"CHL, FIS, NAL, TET",16,"Yes",0.627677174734497,0.407052335132949,0.687809328677725,0.148280966956543
"AMP, COT, FIS, TET",14,"Yes",0.620613783500935,0.409885285757832,0.669917734165712,0.150633750867479
"AMC, AMP, AXO, CHL, FIS, FOX, TET",12,"Yes",0.698457294391987,0.517685480342412,0.737206950215187,0.0290385066817219
"CHL, TET",11,"Yes",0.598159625491126,0.361278348693158,0.677160139498182,0.312483208761924
"AMC, AMP, AXO, FOX, TET",10,"Yes",0.793682227781197,0.65728803595748,0.81336887832342,0.0341160959082612
"AMC, AMP, AXO, CHL, COT, FIS, FOX, TET",9,"Yes",0.678991925147499,0.492240555179123,0.720246187013606,0.0320482635676239
"AMC, AMP, AXO, FIS, FOX, TET",9,"Yes",0.733994158261893,0.568958422375572,0.764742425979662,0.0328937455159293
"COT, FIS, TET",8,"Yes",0.618907353312756,0.393376357992052,0.685796842636848,0.19683161877824
"AMP, AXO, TET",7,"Yes",0.599517225887561,0.368200831092527,0.671592185103434,0.205872866851759
"AMC, AMP, AXO, COT, FIS, FOX, TET",6,"Yes",0.709792046435936,0.534796367403603,0.744822560853758,0.0350315632018791
"AMP, CHL, CIP, COT, FIS, NAL, TET",6,"Yes",0.640486815701634,0.442274233714071,0.686305156643717,0.0481518620604013
"AMP, CHL, FIS, NAL, TET",6,"Yes",0.610480431053608,0.406979309797754,0.651331519735392,0.111401393545259
"AMP, AXO, CHL, COT, FIS, TET",5,"Yes",0.599557538563158,0.3961446955355,0.640281741769976,0.0886709974054003
"AMP, AXO, COT, FIS, TET",5,"Yes",0.609353632250139,0.398816433780984,0.658472951200986,0.120617659831023
"AMP, FIS",5,"Yes",0.60620979437392,0.412483917885991,0.642587101440372,0.153776260217987
"CHL, COT, FIS, NAL, TET",5,"Yes",0.618031372496396,0.407408505395952,0.66663382600709,0.113628405232573
"CHL, FIS",5,"Yes",0.628256812352424,0.410163442864438,0.687432011275013,0.0925105527963109
"COT, FIS",5,"Yes",0.617797365177009,0.388542859438699,0.69427142971935,0.149434058707443
"NAL",5,NA,NA,NA,NA,NA
"NAL, TET",5,"Yes",0.608303479982741,0.371853374497592,0.685926687248796,0.371853374497592
"AMC, AMP, AXO, FOX",4,"Yes",0.816354622698635,0.691980506853196,0.832327996087471,0.0212904286501452
"AMC, AMP, FOX",4,"Yes",0.840734936887311,0.737454868211828,0.864609016781585,0.0263624962539708
"AMP, AXO",4,"Yes",0.601425024731736,0.36292234509552,0.68146117254776,0.0708539458037652
"AMP, AXO, FIS, TET",4,"Yes",0.604779423518398,0.387045353280733,0.663466098806534,0.156917587630656
"AMP, CHL, CIP, FIS, NAL, TET",4,"Yes",0.641485394795573,0.439954394939796,0.688244376475911,0.0635136571537234
"AMP, CHL, TET",4,"Yes",0.582792156633404,0.384095454932079,0.617036243913081,0.148943155100567
"CHL, CIP, COT, FIS, NAL, TET",4,"Yes",0.643504305903071,0.440297354716784,0.696169477281988,0.0535996263847109
"FIS, GEN, TET",4,"Yes",0.61929415457222,0.393652928391874,0.685357824210621,0.233647893617518
"AMC, AMP, AXO, AZI, CHL, COT, FIS, FOX, TET",3,"Yes",0.675111054396699,0.486720873472684,0.717650132877031,0.0311151529906873
"AMC, AMP, AXO, AZI, COT, FIS, FOX, TET",3,"Yes",0.703602841817262,0.525757121127995,0.741271848567801,0.0340805431096803
"AMC, AMP, AXO, COT, FIS, FOX, GEN, TET",3,"Yes",0.719029525276036,0.549685045579184,0.75316603669653,0.0338170845065927
"AMP, AXO, CHL, FIS, TET",3,"Yes",0.606393626796474,0.399955896095379,0.650957190763072,0.106004852988549
"AMP, CHL, COT, FIS, GEN, TET",3,"Yes",0.604330215003702,0.401391595538362,0.644524585163257,0.0964302574674065
"AMP, COT, FIS",3,"Yes",0.627310998624464,0.426021792165328,0.666816255883353,0.114039738986468
"AMP, FIS, GEN, TET",3,"Yes",0.616323671033539,0.403229057185777,0.669088222100733,0.191292243415751
"CHL, NAL, TET",3,"Yes",0.598159625491126,0.361278348693158,0.677160139498182,0.312483208761924
"FIS, NAL, TET",3,"Yes",0.61929415457222,0.393652928391874,0.685357824210621,0.233647893617518
"AMC, AMP, AXO, CHL, FIS, FOX, NAL, TET",2,"Yes",0.689929766555764,0.504173197056873,0.732336422122303,0.026724403277624
"AMC, AMP, COT, FIS, FOX, TET",2,"Yes",0.7177062351957,0.546860912210357,0.755941220684049,0.0663036556356303
"AMC, AMP, FIS, FOX, GEN, TET",2,"Yes",0.746872744945009,0.590892155467831,0.780641510481059,0.0674221085542993
"AMC, AMP, FIS, FOX, TET",2,"Yes",0.747833605855055,0.592273050806083,0.78126496915809,0.0677111969690038
"AMP, AXO, AZI, CHL, COT, FIS, TET",2,"Yes",0.59776484389601,0.390835423018115,0.643467877645535,0.0758623602543517
"AMP, COT, FIS, NAL, TET",2,"Yes",0.624249754262482,0.416785576150248,0.669491364657641,0.132076199290278
"CHL",2,NA,NA,NA,NA,NA
"CHL, FIS, GEN, TET",2,"Yes",0.627677174734497,0.407052335132949,0.687809328677725,0.148280966956543
"CIP, FIS, NAL, TET",2,"Yes",0.657108956165294,0.442685261399621,0.715296777764036,0.105486543858945
"FOX",2,NA,NA,NA,NA,NA
"AMC, AMP",1,"Yes",0.519972378905446,0.270373514431239,0.63518675721562,0.063207289622384
"AMC, AMP, AXO",1,"Yes",0.751283298778281,0.601441235421347,0.777999914262344,0.0290087839773933
"AMC, AMP, AXO, AZI, CHL, COT, FIS, FOX, GEN, TET",1,"Yes",0.683039545706144,0.499661966608433,0.725547550428089,0.0288907875340366
"AMC, AMP, AXO, CHL, CIP, FIS, FOX, NAL, TET",1,"Yes",0.690616983660593,0.504649900203526,0.734325021196333,0.0241892740028089
"AMC, AMP, AXO, CHL, COT, FIS, FOX",1,"Yes",0.686373512198333,0.503547832884614,0.725777249242874,0.0269502235299057
"AMC, AMP, AXO, CHL, FIS, FOX",1,"Yes",0.708723604358818,0.533147266429094,0.74522865295777,0.0227149314088179
