"Class","Genes","Gene_family","match_distance","corrected_class","sub_class"
"Aminoglycoside_Resist_Genes","strA","str",0.1,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","strB","str",0.1,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aph(3')-Ia","aph(3')-Ia",0,"AMINOGLYCOSIDE","KANAMYCIN"
"Aminoglycoside_Resist_Genes","aadA1","aadA1",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aadA2","aadA2",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aph(3')-IIa","aph(3')-IIa",0,"AMINOGLYCOSIDE","KANAMYCIN"
"Aminoglycoside_Resist_Genes","aac(3)-IVa","aac(3)-IVa",0,"AMINOGLYCOSIDE","APRAMYCIN/GENTAMICIN/TOBRAMYCIN"
"Aminoglycoside_Resist_Genes","aph(4)-Ia","aph(4)-Ia",0,"AMINOGLYCOSIDE","HYGROMYCIN"
"Aminoglycoside_Resist_Genes","aph(3')-Ic","aph(3'')-Ic",1,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aac(3)-IId","aac(3)-IId",0,"AMINOGLYCOSIDE","GENTAMICIN"
"Aminoglycoside_Resist_Genes","aadA5","aadA5",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aadA13","aadA13",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aph(6)-Ic","aph(6)-Ic",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aac(3)-VIa","aac(3)-VIa",0,"AMINOGLYCOSIDE","GENTAMICIN"
"Aminoglycoside_Resist_Genes","aac(6')-IIc","aac(6')-IIc",0,"AMINOGLYCOSIDE","GENTAMICIN/KANAMYCIN/TOBRAMYCIN"
"Aminoglycoside_Resist_Genes","aph(3'')-Ib","aph(3'')-Ib",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aph(6)-Id","aph(6)-Id",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","ant(3'')-Ia","ant(3'')-Ia",0,"AMINOGLYCOSIDE","SPECTINOMYCIN/STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aph(3')-Ia=PARTIAL","aph(3')-Ia",0.1,"AMINOGLYCOSIDE","KANAMYCIN"
"Aminoglycoside_Resist_Genes","aadA25","aadA25",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aadA12","aadA12",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aadA22","aadA22",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
"Aminoglycoside_Resist_Genes","aadA7","aadA7",0,"AMINOGLYCOSIDE","STREPTOMYCIN"
